Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Dubai SF,L vs Griekspoor,51.2%,50.0%,6.1%,2/3,2.49,20.0%,50.0%,55.2%,3.4%,2.47,38.9%,59.1%,38.5%,13.6%,2.50,0.0%
2026 Doha QF,W vs Tsitsipas,67.2%,48.8%,6.6%,4/0,2.28,22.0%,59.0%,34.8%,5.1%,2.17,34.6%,85.7%,66.7%,9.5%,2.40,8.3%
2025 Canada QF,L vs Fritz,49.3%,44.4%,4.1%,1/2,2.28,15.4%,41.7%,50.0%,4.2%,2.56,26.3%,72.7%,37.5%,4.5%,2.03,5.0%
2025 Cincinnati R16,W vs Comesana,55.8%,75.9%,3.8%,0/2,2.02,48.0%,42.9%,75.0%,3.6%,1.64,78.6%,89.5%,76.5%,5.3%,2.41,9.1%
2025 Los Cabos R16,W vs Hernandez Serrano,69.6%,60.4%,2.9%,1/1,2.36,9.5%,75.6%,58.8%,2.2%,2.63,12.5%,73.7%,64.3%,5.3%,2.19,7.7%
2025 Roland Garros R16,L vs Sinner,73.5%,28.0%,7.4%,2/3,2.11,10.4%,66.7%,28.6%,9.5%,2.14,17.9%,84.6%,27.3%,3.8%,2.07,0.0%
2025 Hamburg F,L vs Cobolli,75.0%,48.1%,9.7%,4/3,2.17,6.1%,70.7%,62.1%,7.3%,2.32,11.8%,86.2%,32.0%,13.8%,2.00,0.0%
2025 Madrid R32,L vs Bublik,54.9%,46.2%,7.0%,0/5,2.03,63.2%,51.3%,50.0%,2.6%,2.08,77.8%,73.1%,42.1%,15.4%,1.91,27.3%
2025 Monte Carlo R16,L vs Fils,69.0%,34.5%,16.7%,5/2,2.04,25.7%,69.2%,27.8%,15.4%,2.05,36.4%,78.6%,45.5%,21.4%,2.04,7.7%
2025 Indian Wells R64,L vs Arnaldi,80.0%,55.4%,2.9%,1/1,2.17,21.3%,75.9%,54.5%,0.0%,2.15,37.0%,82.9%,55.9%,4.9%,2.20,0.0%
2025 Doha F,W vs Draper,64.4%,51.7%,4.4%,2/2,2.42,16.7%,55.9%,54.5%,1.7%,2.40,27.8%,86.2%,48.0%,10.3%,2.44,0.0%
2025 Doha QF,W vs De Minaur,76.3%,51.7%,3.5%,3/1,2.38,1.5%,71.6%,50.0%,6.0%,2.33,2.4%,88.6%,53.8%,0.0%,2.48,0.0%
2025 Doha R16,W vs Borges,55.8%,58.6%,1.9%,1/0,2.10,26.9%,50.0%,60.0%,2.5%,2.11,33.3%,90.0%,55.6%,0.0%,2.10,0.0%
2025 Doha R32,W vs Bublik,56.4%,61.3%,7.3%,3/1,2.17,34.9%,54.3%,52.6%,5.7%,2.07,45.2%,75.0%,75.0%,12.5%,2.42,8.3%
2025 Rotterdam QF,L vs Hurkacz,52.1%,53.1%,6.4%,3/3,2.28,14.8%,40.0%,50.0%,6.7%,2.29,23.4%,75.8%,56.0%,6.1%,2.26,2.9%
2025 Rotterdam R16,W vs Marozsan,62.0%,51.0%,2.5%,2/0,2.17,18.9%,53.7%,62.1%,1.9%,1.88,34.5%,90.9%,35.0%,4.5%,2.52,0.0%
2025 Rotterdam R32,W vs Zhang,58.6%,56.1%,0.0%,0/0,2.41,24.4%,57.9%,50.0%,0.0%,2.37,40.7%,67.9%,63.2%,0.0%,2.47,0.0%
2025 Montpellier SF,L vs Kovacevic,66.2%,49.0%,6.5%,4/1,2.34,31.0%,56.1%,34.8%,2.4%,2.27,43.8%,80.0%,60.7%,11.4%,2.42,15.4%
2025 Montpellier QF,W vs Basilashvili,52.4%,72.7%,0.0%,0/0,2.50,33.3%,25.0%,100.0%,0.0%,3.50,100.0%,75.0%,66.7%,0.0%,2.00,0.0%
2025 Montpellier R16,W vs Eubanks,57.7%,63.3%,7.7%,1/3,2.20,24.1%,57.1%,62.5%,0.0%,1.95,58.3%,66.7%,66.7%,44.4%,2.35,0.0%
Career (223 matches),,64.1%,52.1%,5.1%,49.9%,2.29,16.5%,58.1%,48.9%,2.7%,2.26,27.1%,82.8%,56.1%,10.1%,2.34,3.0%
