Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2026 Dubai SF,L vs Griekspoor,0.76,0.88,61.6,2.4,29.7%,75.7%,27.3%,75.8%,36.4%,18.4%
2026 Doha QF,W vs Tsitsipas,1.24,1.44,47.6,2.1,5.3%,71.1%,9.1%,69.7%,34.4%,34.5%
2025 Cincinnati R16,W vs Comesana,1.13,1.84,36.7,2.2,20.8%,70.8%,13.0%,65.2%,51.9%,52.0%
2025 Canada QF,L vs Fritz,0.90,0.74,50.6,2.0,18.8%,75.0%,0.0%,60.0%,23.7%,28.6%
2025 Roland Garros R16,L vs Sinner,0.98,0.45,25.4,2.2,8.7%,56.5%,7.0%,53.5%,22.2%,18.8%
2025 Hamburg F,L vs Cobolli,0.79,0.62,47.1,2.0,8.0%,60.0%,0.0%,38.1%,37.8%,40.0%
2025 Madrid R32,L vs Bublik,0.57,0.72,41.0,2.1,25.0%,69.4%,9.7%,77.4%,35.1%,32.4%
2025 Monte Carlo R16,L vs Fils,1.02,0.55,40.9,2.3,7.1%,39.3%,0.0%,56.0%,31.8%,25.0%
2025 Indian Wells R64,L vs Arnaldi,0.86,0.75,55.3,2.8,6.3%,50.0%,0.0%,48.3%,35.1%,54.5%
2025 Doha F,W vs Draper,1.04,1.49,48.6,2.1,4.4%,71.1%,20.0%,80.0%,36.2%,34.9%
2025 Doha QF,W vs De Minaur,0.96,1.14,99.4,3.2,8.3%,62.5%,8.9%,66.7%,43.1%,41.1%
2025 Doha R16,W vs Borges,1.29,2.89,30.5,2.0,19.2%,80.8%,26.1%,87.0%,25.9%,48.0%
2025 Doha R32,W vs Bublik,1.27,1.64,43.0,2.0,15.2%,69.7%,3.4%,65.5%,37.9%,46.2%
2025 Rotterdam QF,L vs Hurkacz,1.09,0.78,68.0,4.6,3.4%,61.0%,5.5%,58.2%,28.6%,28.9%
2025 Rotterdam R16,W vs Marozsan,1.17,1.34,63.0,2.3,10.0%,70.0%,15.8%,68.4%,31.7%,39.5%
2025 Rotterdam R32,W vs Zhang,1.34,1.85,31.6,2.2,18.2%,81.8%,3.6%,60.7%,40.5%,36.4%
2025 Montpellier SF,L vs Kovacevic,0.72,0.74,51.8,2.4,13.3%,70.0%,16.0%,64.0%,30.8%,36.8%
2025 Montpellier R16,W vs Eubanks,1.18,1.99,41.8,2.3,0.0%,68.0%,17.4%,87.0%,39.3%,37.5%
2025 Australian Open R128,L vs Fonseca,0.87,0.72,31.8,2.4,14.3%,62.5%,12.2%,67.3%,21.0%,37.9%
2025 Hong Kong R16,L vs Marozsan,0.72,0.82,61.0,2.6,8.7%,60.9%,15.4%,66.7%,51.9%,31.4%
2026 (2 matches),,0.98,1.12,55.1,2.3,17.3%,73.3%,18.2%,72.7%,35.5%,25.4%
2025 (18 matches),,0.98,1.00,50.4,2.3,11.1%,65.1%,9.8%,65.0%,34.6%,36.9%
2024 (41 matches),,1.02,1.20,47.5,2.5,10.3%,69.8%,10.5%,67.2%,36.8%,37.7%
2023 (45 matches),,1.02,1.14,50.2,2.7,9.8%,66.5%,8.8%,66.1%,38.2%,37.2%
2022 (38 matches),,1.04,1.11,49.8,2.6,11.6%,66.5%,8.3%,64.4%,34.9%,38.6%
Career (434 matches),,1.02,1.09,52.0,2.6,8.7%,65.1%,7.4%,63.9%,36.9%,38.9%
