Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,2,1,1,50.0%,2-3,40.0%,22-23,48.9%,0-0,-,2,72.7%,26.1%,2.0%,4.6%,64.5%,69.4%,37.0%,57.9%,41.5%,49.4%,0.98,R32 (Doha)
2023,12,4,8,33.3%,8-16,33.3%,103-128,44.6%,2-0,100.0%,12,59.6%,29.7%,0.7%,6.2%,61.9%,59.6%,44.0%,53.7%,41.5%,47.8%,0.90,QF (Ningbo)
2022,11,3,8,27.3%,9-16,36.0%,105-125,45.7%,0-0,-,11,65.2%,27.4%,1.9%,5.0%,65.9%,60.7%,47.2%,56.1%,40.8%,48.5%,0.93,R16 (Melbourne 1)
2021,22,11,11,50.0%,24-22,52.2%,228-220,50.9%,2-5,28.6%,21,63.4%,36.9%,2.5%,4.8%,66.3%,62.4%,43.3%,56.0%,43.7%,49.9%,0.99,SF (St. Petersburg)
2020,10,4,6,40.0%,10-13,43.5%,99-110,47.4%,0-0,-,10,66.0%,29.2%,3.2%,2.9%,63.8%,61.8%,49.4%,57.3%,40.7%,49.1%,0.95,R16 (2x)
2019,13,6,7,46.2%,12-16,42.9%,132-148,47.1%,1-1,50.0%,13,64.7%,29.3%,2.3%,6.1%,65.0%,62.2%,45.8%,56.5%,40.6%,48.5%,0.93,SF (2x)
2018,15,6,9,40.0%,12-19,38.7%,142-152,48.3%,0-4,0.0%,15,63.0%,35.2%,2.6%,5.3%,61.9%,59.8%,46.6%,54.7%,44.2%,49.4%,0.98,QF (Moscow)
2017,4,3,1,75.0%,6-2,75.0%,44-28,61.1%,0-1,0.0%,4,76.9%,40.5%,0.8%,4.2%,68.3%,66.5%,51.3%,61.7%,45.4%,52.9%,1.18,SF (Tashkent)
2015,15,7,8,46.7%,16-15,51.6%,145-146,49.8%,2-1,66.7%,15,57.5%,39.0%,3.4%,7.2%,63.7%,60.6%,45.2%,55.0%,45.4%,50.2%,1.01,QF (2x)
2014,8,3,5,37.5%,8-11,42.1%,85-101,45.7%,0-2,0.0%,8,-,-,3.7%,5.8%,63.6%,61.5%,43.0%,54.8%,41.5%,47.8%,0.92,R16 (Pattaya)
2012,21,11,10,52.4%,23-19,54.8%,199-193,50.8%,4-2,66.7%,20,-,-,2.7%,6.2%,64.0%,63.9%,47.1%,57.9%,42.5%,50.4%,1.01,QF (2x)
2011,78,56,22,71.8%,118-63,65.2%,939-731,56.2%,7-8,46.7%,67,-,-,4.4%,6.0%,60.7%,69.1%,44.4%,59.4%,45.9%,52.4%,1.13,W (2x)
2010,67,49,18,73.1%,98-42,70.0%,726-530,57.8%,7-0,100.0%,62,-,-,3.6%,5.0%,64.9%,66.3%,48.1%,59.9%,46.8%,53.2%,1.17,W (Pattaya)
2009,48,34,14,70.8%,73-31,70.2%,558-396,58.5%,5-7,41.7%,43,-,-,3.2%,6.0%,62.4%,67.2%,47.0%,59.6%,46.8%,53.2%,1.16,W (2x)
2008,87,64,23,73.6%,136-61,69.0%,1047-729,59.0%,10-12,45.5%,67,-,-,3.4%,6.0%,60.9%,67.9%,47.9%,60.1%,47.9%,53.9%,1.20,W (2x)
2007,44,30,14,68.2%,64-35,64.6%,531-403,56.9%,4-6,40.0%,37,-,-,2.8%,6.0%,58.0%,67.4%,47.8%,59.2%,46.6%,52.7%,1.14,F (Auckland)
2006,59,37,22,62.7%,76-52,59.4%,639-523,55.0%,8-4,66.7%,38,-,-,3.9%,4.2%,60.0%,65.4%,44.9%,57.2%,44.9%,51.1%,1.05,W (2x)
2005,42,21,21,50.0%,49-45,52.1%,463-429,51.9%,5-4,55.6%,15,-,-,3.4%,5.4%,56.4%,68.7%,47.4%,59.4%,46.6%,52.8%,1.15,W (Memphis)
2004,81,54,27,66.7%,120-66,64.5%,934-753,55.4%,11-4,73.3%,13,-,-,4.9%,8.0%,54.0%,68.3%,42.1%,56.3%,49.5%,52.9%,1.13,W (Memphis)
2003,70,46,24,65.7%,106-61,63.5%,852-648,56.8%,5-5,50.0%,12,-,-,2.7%,4.4%,63.2%,64.8%,46.1%,57.9%,48.0%,52.9%,1.14,W (Bol)
2002,30,19,11,63.3%,43-25,63.2%,345-285,54.8%,5-5,50.0%,0,,,,,,,,,,,,F (Palermo)
2000,2,1,1,50.0%,2-3,40.0%,29-27,51.8%,0-2,0.0%,0,,,,,,,,,,,,R16 (Moscow)
Career,741,470,271,63.4%,1015-636,61.5%,8367-6828,55.1%,78-73,51.7%,485,63.6%,33.0%,3.3%,5.6%,61.9%,65.8%,46.2%,58.3%,45.6%,51.9%,1.10,
