Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2023 Berlin R32,L vs Sabalenka,2.9,3.2,2.5,40.5%,29.4%,14.3%,50.0%,56.1%,20.9%,0.0,0.0,-4.0,-12.5
2021 Madrid R64,L vs Sabalenka,3.6,3.7,3.4,25.9%,40.6%,69.2%,100.0%,57.8%,8.8%,2.5,3.8,-8.0,-16.3
2021 St Petersburg SF,L vs Gasparyan,5.1,5.1,5.1,40.8%,51.1%,60.9%,53.8%,58.0%,19.5%,5.0,2.6,1.0,0.8
2020 Doha R64,W vs Hsieh,5.0,5.2,4.8,55.4%,50.0%,47.6%,58.3%,48.6%,10.9%,7.0,5.8,4.0,3.5
2019 St Petersburg SF,L vs Vekic,5.1,5.6,4.6,33.3%,40.7%,64.7%,16.7%,52.0%,15.3%,-2.0,-2.1,-2.5,-3.2
2019 St Petersburg QF,W vs Kasatkina,5.3,4.6,6.0,52.8%,46.9%,45.0%,67.9%,49.9%,7.6%,8.0,5.0,7.0,4.6
2019 St Petersburg R16,W vs Goerges,3.8,3.7,3.9,54.2%,50.0%,50.0%,66.7%,42.6%,6.2%,2.5,3.2,-2.5,-2.5
2018 Moscow QF,L vs Sevastova,4.5,4.1,4.9,46.0%,46.4%,63.0%,50.0%,47.9%,10.9%,3.5,2.4,4.0,2.6
2018 US Open R64,L vs Sabalenka,3.4,2.6,4.2,50.0%,40.5%,38.5%,42.9%,49.5%,14.9%,-6.5,-7.5,-1.0,-1.2
2015 Australian Open R64,L vs Williams,4.2,4.7,3.5,45.5%,25.9%,31.3%,50.0%,56.9%,5.9%,-0.5,-0.5,-6.5,-8.3
2012 Olympics R16,L vs Williams,3.0,3.5,2.3,24.5%,36.8%,100.0%,50.0%,49.3%,10.5%,3.5,11.3,-4.5,-13.6
2012 Olympics R64,W vs Arvidsson,3.4,3.5,3.3,55.4%,59.4%,52.9%,20.0%,58.9%,14.1%,15.0,14.2,10.0,13.7
2011 Tokyo F,L vs Radwanska,5.8,5.5,5.9,31.8%,47.6%,52.9%,50.0%,45.2%,5.8%,0.0,0.0,-5.0,-3.9
2011 Doha F,W vs Wozniacki,5.6,5.8,5.5,45.2%,61.1%,60.0%,46.4%,43.9%,10.0%,5.5,3.6,-1.5,-0.8
2011 Australian Open SF,L vs Clijsters,5.7,5.8,5.5,48.8%,47.8%,42.1%,22.2%,57.0%,14.3%,-7.5,-5.8,-4.0,-4.8
2010 WTA Championships SF,L vs Wozniacki,4.9,4.8,5.1,32.3%,39.3%,58.3%,52.9%,47.1%,10.9%,-4.0,-3.8,2.0,1.8
2010 Beijing F,L vs Wozniacki,7.0,6.4,7.6,50.0%,57.1%,46.4%,34.3%,45.6%,8.5%,-1.5,-0.7,1.0,0.4
2010 US Open F,L vs Clijsters,5.5,4.3,6.5,42.9%,26.3%,33.3%,23.1%,57.5%,9.7%,-11.5,-9.5,-5.5,-7.0
2010 US Open SF,W vs Wozniacki,5.1,4.2,6.0,60.3%,59.4%,41.2%,47.1%,50.9%,12.7%,-3.0,-2.3,5.5,4.8
2010 Montreal F,L vs Wozniacki,4.3,4.6,4.1,39.0%,41.7%,42.9%,54.5%,46.5%,15.1%,-0.5,-0.6,-2.0,-2.3
Career (33 matches),,4.8,4.6,4.9,47.9%,45.7%,50.2%,47.9%,50.5%,9.5%,1.8,1.5,0.1,0.1
