Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2023 Berlin R32,L vs Sabalenka,25.0%,32.1%,39.5%,28.6%,35.7%,43.3%,35.0%,54.5%,50.0%,20.0%,30.0%,25.0%,16.7%,50.0%,0.0%,46
2021 Madrid R64,L vs Sabalenka,9.1%,9.1%,35.1%,9.4%,9.4%,37.9%,31.3%,25.0%,14.3%,11.1%,11.1%,25.0%,0.0%,20.0%,-,-23
2021 St Petersburg SF,L vs Gasparyan,14.5%,19.3%,42.6%,15.5%,22.4%,49.0%,20.0%,48.5%,33.3%,13.6%,13.6%,26.3%,14.3%,33.3%,50.0%,19
2020 Doha R64,W vs Hsieh,19.0%,25.9%,54.3%,16.7%,26.2%,51.4%,10.5%,47.8%,50.0%,26.7%,26.7%,63.6%,0.0%,57.1%,100.0%,-28
2019 St Petersburg SF,L vs Vekic,11.8%,15.7%,47.6%,9.1%,15.2%,53.3%,26.7%,27.8%,16.7%,20.0%,20.0%,33.3%,22.2%,16.7%,-,73
2019 St Petersburg QF,W vs Kasatkina,17.3%,30.7%,51.8%,16.0%,36.0%,50.0%,24.0%,4.0%,0.0%,26.3%,26.3%,57.1%,28.6%,16.7%,-,111
2019 St Petersburg R16,W vs Goerges,14.8%,17.3%,66.7%,18.2%,21.8%,68.9%,27.6%,34.6%,50.0%,8.7%,8.7%,61.9%,0.0%,64.3%,33.3%,-30
2018 Moscow QF,L vs Sevastova,20.4%,25.8%,50.0%,27.5%,37.3%,59.5%,42.9%,46.7%,33.3%,13.9%,13.9%,38.7%,15.8%,52.9%,40.0%,18
2018 US Open R64,L vs Sabalenka,39.7%,43.8%,43.2%,47.9%,52.1%,36.0%,41.7%,37.5%,33.3%,33.3%,38.9%,58.3%,75.0%,21.4%,0.0%,157
2015 Australian Open R64,L vs Williams,14.9%,22.4%,36.4%,20.0%,32.5%,37.5%,25.0%,55.0%,33.3%,8.0%,8.0%,34.8%,18.2%,21.4%,50.0%,-33
2012 Olympics R16,L vs Williams,6.8%,13.6%,34.2%,7.7%,15.4%,20.8%,26.7%,54.5%,80.0%,6.7%,13.3%,57.1%,0.0%,10.0%,0.0%,-55
2012 Olympics R64,W vs Arvidsson,22.9%,42.9%,65.4%,30.6%,51.0%,64.7%,30.4%,38.5%,33.3%,5.3%,26.3%,66.7%,50.0%,9.1%,-,-64
2011 Tokyo F,L vs Radwanska,6.4%,14.9%,43.6%,9.1%,22.7%,45.0%,27.3%,18.2%,-,5.0%,10.0%,42.1%,30.0%,30.0%,0.0%,-73
2011 Doha F,W vs Wozniacki,11.8%,19.1%,54.4%,18.6%,27.9%,57.1%,50.0%,21.7%,0.0%,0.0%,4.5%,50.0%,40.0%,25.0%,0.0%,-119
2011 Australian Open SF,L vs Clijsters,17.3%,26.9%,46.3%,20.0%,34.3%,60.7%,38.9%,47.1%,50.0%,13.3%,13.3%,15.4%,16.7%,0.0%,0.0%,-28
2010 WTA Championships SF,L vs Wozniacki,14.5%,23.6%,32.6%,18.8%,34.4%,42.3%,14.3%,38.9%,33.3%,10.5%,10.5%,17.6%,40.0%,11.1%,0.0%,-19
2010 Beijing F,L vs Wozniacki,9.6%,17.8%,59.4%,13.5%,25.0%,60.0%,33.3%,50.0%,0.0%,0.0%,0.0%,57.9%,44.4%,0.0%,0.0%,-119
2010 US Open F,L vs Clijsters,14.6%,24.4%,38.7%,11.1%,25.9%,41.7%,36.4%,25.0%,33.3%,30.0%,30.0%,28.6%,14.3%,0.0%,-,128
2010 US Open SF,W vs Wozniacki,29.0%,37.1%,50.0%,34.1%,46.3%,51.9%,45.0%,38.1%,50.0%,21.1%,21.1%,46.7%,100.0%,23.1%,0.0%,11
2010 Montreal F,L vs Wozniacki,15.6%,24.4%,42.9%,21.1%,36.8%,40.0%,20.0%,44.4%,50.0%,13.0%,17.4%,45.0%,54.5%,25.0%,0.0%,14
Career (33 matches),,18.4%,26.4%,48.3%,21.6%,32.5%,51.0%,31.8%,36.8%,37.7%,14.6%,17.7%,42.9%,28.8%,28.3%,28.3%,26
