Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2026 Miami R128,W vs Fery,0.99,1.64,52.3,2.1,11.4%,71.4%,3.3%,80.0%,37.8%,44.1%
2026 Indian Wells R128,L vs Shapovalov,0.97,0.70,58.0,2.4,0.0%,53.3%,0.0%,64.1%,36.1%,22.6%
2026 Dubai R32,L vs Humbert,0.72,0.63,47.5,2.3,9.7%,67.7%,12.0%,76.0%,33.3%,16.1%
2026 Doha QF,L vs Rublev,0.81,0.69,47.6,2.1,12.5%,65.6%,13.8%,65.5%,28.9%,30.3%
2026 Doha R16,W vs Medvedev,1.20,1.72,44.2,2.1,9.4%,71.9%,3.6%,75.0%,29.0%,48.3%
2026 Rotterdam R32,W vs Rinderknech,1.17,1.94,46.2,2.4,3.2%,83.9%,3.8%,73.1%,39.4%,29.6%
2026 Australian Open R64,L vs Machac,0.88,0.88,51.8,2.3,20.8%,73.6%,14.8%,62.3%,31.0%,32.4%
2026 United Cup RR,W vs Mochizuki,1.36,1.58,43.0,2.9,15.6%,75.0%,10.3%,51.7%,40.0%,44.4%
2025 Roland Garros R64,L vs Gigante,0.91,0.79,43.3,2.4,1.6%,66.7%,6.9%,56.9%,38.8%,27.1%
2025 Rome R32,L vs Fils,0.79,0.69,42.8,6.2,10.3%,61.5%,2.7%,59.5%,30.0%,39.4%
2025 Madrid R32,L vs Musetti,0.84,0.72,54.3,3.6,0.0%,56.8%,2.9%,71.4%,33.3%,28.9%
2025 Barcelona R32,W vs Opelka,1.10,2.29,31.1,2.2,3.8%,80.8%,4.5%,68.2%,51.7%,52.0%
2025 Monte Carlo QF,L vs Musetti,0.83,0.82,58.0,6.6,2.2%,53.3%,0.0%,67.5%,35.8%,42.9%
2025 Monte Carlo R32,W vs Thompson,1.13,1.37,52.7,4.4,11.6%,67.4%,5.1%,71.8%,36.6%,37.8%
2025 Indian Wells R16,L vs Rune,0.96,0.66,51.3,2.4,0.0%,68.8%,6.9%,44.8%,25.8%,33.3%
2025 Indian Wells R64,W vs Seyboth Wild,1.06,2.00,50.0,2.2,15.4%,73.1%,4.3%,82.6%,44.7%,39.4%
2025 Dubai F,W vs Auger Aliassime,1.23,1.49,51.0,2.6,5.9%,61.8%,6.3%,71.9%,42.9%,37.5%
2025 Dubai SF,W vs Griekspoor,1.14,2.01,48.8,2.3,19.2%,73.1%,8.3%,87.5%,32.4%,38.7%
2025 Dubai QF,W vs Berrettini,1.46,1.09,68.4,4.0,14.0%,76.7%,2.4%,65.9%,20.9%,21.6%
2025 Doha R32,L vs Medjedovic,0.81,0.97,76.6,2.8,10.9%,70.9%,11.8%,80.4%,25.9%,33.3%
2026 (8 matches),,0.99,1.07,49.5,2.3,11.3%,70.0%,8.2%,67.4%,34.0%,33.2%
2025 (16 matches),,0.98,1.04,55.7,3.0,8.8%,66.1%,6.7%,68.4%,34.1%,35.5%
2024 (34 matches),,1.02,1.03,45.6,2.5,8.5%,64.5%,7.9%,65.5%,35.1%,35.7%
2023 (36 matches),,1.02,1.03,49.7,2.5,10.5%,67.9%,8.7%,69.6%,31.9%,31.8%
2022 (44 matches),,1.03,1.06,50.2,2.8,10.5%,68.4%,6.1%,64.4%,33.9%,34.6%
Career (464 matches),,1.03,1.11,52.3,2.7,9.2%,67.9%,6.7%,65.3%,36.1%,36.0%
