Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,28,15,13,53.6%,39-32,54.9%,374-337,52.6%,7-8,46.7%,24,85.4%,16.6%,10.7%,3.8%,61.3%,78.0%,51.1%,67.6%,35.4%,51.1%,1.09
Clay,12,7,5,58.3%,18-11,62.1%,153-125,55.0%,2-1,66.7%,12,84.2%,24.6%,5.6%,4.7%,57.4%,74.3%,53.5%,65.4%,38.9%,51.9%,1.13
Grass,3,1,2,33.3%,2-5,28.6%,32-42,43.2%,1-1,50.0%,3,82.9%,5.4%,10.7%,6.0%,56.0%,72.5%,56.3%,65.4%,24.6%,46.3%,0.71
Grand Slams,7,3,4,42.9%,13-13,50.0%,134-121,52.5%,1-3,25.0%,7,84.9%,20.0%,12.4%,5.8%,57.4%,78.7%,51.7%,67.2%,37.6%,51.8%,1.15
Masters,16,8,8,50.0%,21-19,52.5%,196-188,51.0%,5-2,71.4%,16,80.5%,20.3%,7.5%,3.9%,58.6%,74.5%,50.2%,64.5%,37.0%,50.6%,1.04
Other Tours,16,9,7,56.3%,18-14,56.3%,176-161,52.2%,3-5,37.5%,16,89.8%,14.0%,8.8%,3.4%,62.9%,77.2%,55.6%,69.2%,32.6%,50.7%,1.06
Best of 5,7,3,4,42.9%,13-13,50.0%,134-121,52.5%,1-3,25.0%,7,84.9%,20.0%,12.4%,5.8%,57.4%,78.7%,51.7%,67.2%,37.6%,51.8%,1.15
Best of 3,36,20,16,55.6%,46-35,56.8%,425-383,52.6%,9-7,56.3%,32,84.9%,17.4%,8.1%,3.7%,60.6%,75.8%,52.6%,66.7%,35.0%,50.6%,1.05
Quarter-finals,4,1,3,25.0%,3-4,42.9%,35-35,50.0%,0-1,0.0%,4,83.3%,14.3%,6.4%,5.0%,59.4%,73.8%,49.4%,63.9%,33.2%,48.1%,0.92
vs Righties,38,21,17,55.3%,53-41,56.4%,495-438,53.1%,9-10,47.4%,36,85.8%,19.0%,9.7%,4.2%,59.5%,76.7%,53.0%,67.1%,36.3%,51.4%,1.10
vs Lefties,4,1,3,25.0%,4-7,36.4%,51-57,47.2%,0-0,-,3,75.6%,9.1%,3.9%,4.2%,62.5%,74.7%,44.3%,63.3%,29.5%,46.6%,0.81
vs Top 10,2,2,0,100.0%,4-0,100.0%,26-18,59.1%,1-0,100.0%,2,100.0%,14.3%,8.4%,2.5%,70.6%,88.1%,57.1%,79.0%,32.5%,55.4%,1.55
