Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,18,11,7,61.1%,25-17,59.5%,228-199,53.4%,4-6,40.0%,16,88.6%,14.7%,10.0%,3.5%,63.4%,79.0%,52.5%,69.3%,34.0%,51.3%,1.11,
2025,38,21,17,55.3%,54-43,55.7%,505-460,52.3%,10-7,58.8%,36,84.3%,19.4%,8.5%,4.2%,59.3%,76.4%,53.4%,67.0%,35.9%,51.1%,1.09,W (Dubai)
2024,65,43,22,66.2%,100-62,61.7%,888-746,54.3%,17-14,54.8%,65,86.6%,21.5%,8.7%,3.8%,60.4%,74.6%,54.5%,66.6%,35.5%,51.4%,1.06,W (Monte Carlo Masters)
2023,74,50,24,67.6%,120-69,63.5%,1065-900,54.2%,27-23,54.0%,72,88.8%,19.3%,9.6%,2.7%,64.0%,78.1%,55.3%,69.9%,34.7%,52.2%,1.15,W (Los Cabos)
2022,85,61,24,71.8%,143-76,65.3%,1193-1000,54.4%,29-17,63.0%,81,86.2%,20.9%,9.5%,2.7%,63.2%,76.4%,55.0%,68.5%,36.0%,52.2%,1.14,W (2x)
2021,75,56,19,74.7%,135-61,68.9%,1088-823,56.9%,16-13,55.2%,70,87.4%,25.5%,8.6%,2.8%,62.8%,76.0%,56.7%,68.8%,38.7%,53.5%,1.24,W (2x)
2020,44,30,14,68.2%,74-38,66.1%,623-492,55.9%,13-12,52.0%,41,88.4%,21.5%,9.2%,2.7%,65.0%,76.3%,57.2%,69.6%,36.9%,52.8%,1.21,W (Marseille)
2019,80,55,25,68.8%,132-75,63.8%,1131-992,53.3%,32-13,71.1%,78,85.6%,19.6%,8.6%,2.7%,63.8%,76.3%,53.1%,67.9%,35.6%,51.7%,1.11,W (3x)
2018,73,46,27,63.0%,105-78,57.4%,953-864,52.4%,16-20,44.4%,73,85.2%,19.7%,8.5%,3.2%,58.1%,75.3%,54.4%,66.5%,35.5%,51.2%,1.06,W (2x)
2017,14,4,10,28.6%,9-23,28.1%,154-189,44.9%,4-4,50.0%,14,77.5%,12.1%,9.8%,2.8%,57.9%,76.6%,46.7%,64.0%,31.3%,47.8%,0.87,SF (Antwerp)
Career,566,377,189,66.6%,897-542,62.3%,7828-6665,54.0%,168-129,56.6%,546,86.4%,20.6%,9.0%,3.0%,62.1%,76.3%,54.6%,68.0%,35.9%,51.9%,1.12,
