Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2023-10-02),892,23,,,,,,,,,,,,
2022,510,78,,,,,,,,,,,,
2021,467,106,,,,,,,,,,,,
2020,339,156,,,,,,,,,1056,19,,
2019,353,138,,,,,,,,,1013,19,,
2017,415,89,,,,,,,,,584,63,,
2016,286,161,,,,,,,,,302,189,,
2015,319,128,,,,,,,,,527,74,,
2014,405,77,,,,,,,,,1077,10,,
2013,386,111,,,,,,,,,454,112,,
2012,335,132,,,,,,,,,493,85,,
2011,584,49,,,,,,,,,623,54,,
2010,465,73,,,,,,,,,440,101,,
2009,430,80,,,,,,,,,,,,
2008,548,30,,,,,,,,,,,,
2007,867,8,,,,,,,,,,,,
