Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2025,804,33,,,,,,,,,,,,
2024,261,208,191,1566,175,1535,181,1528,,,,,,
2023,53,910,57,1780,58,1731,80,1669,66,1625,,,,
2022,66,746,52,1790,50,1747,108,1624,,,,,,
2021,174,390,107,1681,91,1650,,,,,,,,
2020,127,519,80,1717,66,1695,201,1453,,,,,,
2019,188,268,132,1639,125,1605,,,,,,,,
2018,364,53,352,1331,331,1305,,,,,620,15,,
2017,658,35,,,,,,,,,,,,
2016,,,,,,,,,,,1262,15,,
