Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,293,140,153,47.8%,315-357,46.9%,3072-3240,48.7%,40-33,54.8%,249,64.9%,30.3%,3.9%,3.7%,59.1%,63.7%,46.2%,56.6%,41.7%,49.2%,0.96
Clay,77,25,52,32.5%,62-112,35.6%,680-886,43.4%,11-6,64.7%,70,55.1%,30.7%,2.9%,3.8%,59.0%,59.1%,43.2%,52.6%,42.4%,47.5%,0.89
Grass,80,47,33,58.8%,106-78,57.6%,921-832,52.5%,9-10,47.4%,78,71.8%,34.3%,4.9%,3.4%,63.0%,66.5%,47.8%,59.6%,42.0%,50.8%,1.04
Carpet,5,2,3,40.0%,5-7,41.7%,60-62,49.2%,1-1,50.0%,3,-,-,4.8%,5.3%,53.2%,63.0%,52.3%,58.0%,42.8%,50.4%,1.02
Grand Slams,88,38,50,43.2%,86-110,43.9%,829-949,46.6%,7-7,50.0%,83,60.2%,25.9%,4.1%,3.1%,60.6%,62.5%,44.0%,55.2%,41.4%,48.3%,0.92
Premiers,69,25,44,36.2%,65-97,40.1%,677-821,45.2%,9-2,81.8%,66,60.4%,27.9%,3.6%,3.9%,59.2%,62.5%,44.3%,55.1%,39.9%,47.7%,0.89
Internationals,223,118,105,52.9%,264-247,51.7%,2458-2397,50.6%,37-29,56.1%,205,68.0%,32.4%,4.1%,3.7%,59.8%,64.5%,47.9%,57.8%,42.5%,50.2%,1.01
Finals,4,1,3,25.0%,4-6,40.0%,43-52,45.3%,1-0,100.0%,4,60.7%,20.7%,4.3%,5.7%,64.3%,62.2%,42.0%,55.0%,39.4%,47.0%,0.88
Semi-finals,16,4,12,25.0%,12-25,32.4%,157-204,43.5%,4-3,57.1%,14,69.0%,20.3%,3.8%,3.3%,57.5%,64.0%,48.3%,57.4%,37.5%,47.3%,0.88
Quarter-finals,43,16,27,37.2%,38-59,39.2%,429-492,46.6%,4-5,44.4%,41,67.1%,20.6%,4.3%,3.6%,60.8%,63.5%,48.3%,57.5%,38.5%,47.9%,0.91
vs Righties,416,195,221,46.9%,445-506,46.8%,4324-4599,48.5%,55-48,53.4%,367,64.1%,30.7%,3.9%,3.6%,59.9%,63.4%,46.0%,56.4%,41.8%,49.2%,0.96
vs Lefties,36,17,19,47.2%,39-46,45.9%,380-399,48.8%,5-2,71.4%,30,71.3%,32.2%,4.5%,4.0%,57.4%,66.1%,45.9%,57.5%,42.3%,49.9%,0.99
vs Top 10,35,5,30,14.3%,19-61,23.8%,289-444,39.4%,3-4,42.9%,33,55.1%,22.9%,3.6%,3.5%,57.7%,59.9%,42.6%,52.6%,37.1%,44.9%,0.78
