Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2022 Wimbledon R64,L vs Halep,14.9%,20.9%,41.8%,13.3%,22.2%,46.2%,25.0%,33.3%,16.7%,20.0%,20.0%,31.3%,0.0%,53.8%,0.0%,6
2022 Wimbledon R128,W vs Fourlis,23.5%,36.8%,48.0%,31.0%,47.6%,41.4%,62.5%,61.1%,75.0%,12.5%,20.8%,57.1%,28.6%,35.3%,25.0%,-11
2022 Australian Open R128,L vs Sorribes Tormo,5.8%,21.7%,40.0%,7.7%,26.9%,47.9%,55.6%,64.0%,42.9%,0.0%,5.9%,17.6%,33.3%,54.5%,33.3%,-119
2020 Australian Open R128,L vs Muchova,19.4%,29.1%,45.1%,25.0%,35.3%,49.0%,60.6%,62.9%,100.0%,8.8%,17.6%,38.7%,8.3%,45.5%,83.3%,-69
2019 Moscow QF,L vs Bencic,26.9%,29.9%,34.8%,28.9%,33.3%,40.6%,63.2%,42.3%,100.0%,26.3%,26.3%,21.4%,28.6%,41.7%,25.0%,61
2019 US Open R64,L vs Andreescu,25.0%,34.7%,41.5%,31.4%,43.1%,42.9%,75.0%,48.1%,66.7%,10.0%,15.0%,38.9%,36.4%,44.4%,0.0%,-46
2018 s Hertogenbosch F,L vs Krunic,20.9%,25.6%,42.2%,21.7%,28.3%,42.6%,31.0%,61.3%,83.3%,22.7%,22.7%,41.2%,10.0%,91.7%,100.0%,82
2018 s Hertogenbosch QF,W vs Sabalenka,26.8%,50.0%,61.5%,35.5%,67.7%,75.0%,46.2%,83.3%,100.0%,17.4%,30.4%,47.4%,53.8%,70.0%,-,-7
2017 Mallorca R16,L vs Vinci,26.9%,38.0%,42.1%,35.2%,50.7%,47.8%,52.9%,51.4%,75.0%,11.8%,14.7%,33.3%,47.1%,41.2%,0.0%,-6
2016 US Open R128,L vs Halep,8.7%,17.4%,31.0%,15.0%,30.0%,41.2%,50.0%,40.0%,50.0%,3.8%,7.7%,24.0%,28.6%,100.0%,100.0%,-104
2016 Rabat R32,L vs Parmentier,25.0%,36.8%,42.0%,28.3%,41.3%,48.5%,63.2%,66.7%,50.0%,19.0%,28.6%,29.4%,0.0%,100.0%,-,-49
2016 Katowice R32,W vs Vekic,27.9%,46.5%,80.0%,29.2%,58.3%,88.2%,0.0%,64.3%,-,27.8%,33.3%,69.2%,12.5%,60.0%,-,-40
2015 Indian Wells R64,L vs Azarenka,21.1%,33.8%,30.8%,30.0%,47.5%,35.7%,52.6%,61.9%,85.7%,11.1%,18.5%,25.0%,28.6%,46.2%,50.0%,-7
2014 Cincinnati R32,L vs Halep,14.9%,20.3%,41.9%,17.1%,22.9%,48.3%,75.0%,57.9%,25.0%,13.2%,18.4%,36.4%,26.3%,78.9%,75.0%,-73
2014 Roland Garros R128,W vs Kovinic,26.1%,36.2%,64.6%,29.3%,43.9%,62.1%,40.0%,81.0%,75.0%,24.0%,28.0%,68.4%,0.0%,80.0%,100.0%,25
2013 Wimbledon SF,L vs Bartoli,16.2%,27.0%,30.0%,15.8%,26.3%,31.3%,71.4%,58.3%,0.0%,17.6%,29.4%,28.6%,41.7%,80.0%,0.0%,-37
2013 s Hertogenbosch F,L vs Halep,12.7%,20.0%,37.8%,12.5%,25.0%,39.3%,21.4%,22.2%,25.0%,15.0%,15.0%,35.3%,7.7%,28.6%,-,31
2013 Australian Open R32,W vs Savinykh,27.9%,33.7%,46.7%,38.5%,51.3%,66.7%,22.2%,19.0%,20.0%,20.0%,20.0%,33.3%,45.5%,69.6%,66.7%,-104
2013 Hobart QF,W vs Niculescu,18.8%,25.9%,46.3%,25.0%,33.3%,44.4%,60.9%,56.0%,40.0%,11.4%,17.1%,48.4%,20.0%,95.0%,100.0%,-39
2010 Indian Wells R32,L vs Dementieva,13.5%,17.3%,33.3%,26.3%,36.8%,42.9%,66.7%,57.1%,50.0%,9.5%,9.5%,26.3%,71.4%,78.6%,75.0%,-104
Last 52 Weeks (2 matches),,19.3%,28.9%,44.8%,21.8%,34.5%,44.1%,43.8%,46.2%,40.0%,15.9%,20.5%,45.9%,14.3%,43.3%,14.3%,-3
Career (20 matches),,20.6%,30.2%,43.7%,25.4%,38.5%,48.1%,50.6%,55.0%,57.8%,14.8%,19.6%,37.4%,27.4%,64.7%,59.3%,-28
