Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2019 Wimbledon R64,L vs Hsieh,90.5,94.9,3.5,94.9,94.4,102,88,81.9,4.5,,85.5,89,72
2018 US Open R64,L vs Krunic,85.7,92.5,7.4,93.6,88.2,105,76,73.9,2.8,77.0,73.0,77,66
2018 US Open R128,W vs Vandeweghe,91.2,97.5,3.8,101.1,95.7,106,90,81.2,7.5,,79.0,104,70
2018 Wimbledon R64,L vs Ostapenko,91.9,94.7,4.9,98.1,92.6,103,84,84.0,6.0,87.0,84.3,93,74
2017 US Open R64,L vs Vesnina,85.4,94.0,8.2,96.4,88.0,105,74,75.0,6.6,77.5,77.3,87,64
2017 Wimbledon R64,L vs Kerber,88.8,93.0,3.5,94.8,92.8,101,86,80.7,3.0,81.5,75.0,89,75
2017 Roland Garros R64,L vs Stosur,86.4,91.8,5.2,,,101,77,75.6,5.4,,,92,67
2017 Roland Garros R128,W vs Minella,84.4,90.9,6.6,,,101,72,72.5,6.3,,,83,60
2017 Australian Open R128,L vs Konta,88.4,96.2,5.6,98.7,93.6,106,76,79.1,7.3,,76.3,90,64
2016 US Open R128,L vs Halep,85.4,96.6,4.3,98.7,94.6,105,89,76.8,3.8,81.5,75.0,83,71
2016 Roland Garros R128,L vs Cornet,86.3,93.3,5.4,,,101,82,78.7,5.8,,,89,71
2016 Australian Open R64,L vs Muguruza,89.4,97.2,3.9,,,103,88,79.9,5.3,,,90,72
2015 US Open R128,L vs Lepchenko,86.6,95.8,5.4,,,104,85,76.8,4.8,,,89,70
2015 Wimbledon R64,L vs Azarenka,96.6,101.4,3.5,,,108,93,88.9,3.8,,,95,83
2015 Australian Open R128,L vs Cibulkova,90.9,97.6,5.1,,,105,85,77.9,5.8,,,91,70
2014 US Open R128,L vs Errani,83.5,91.1,7.3,,,103,74,75.1,4.6,,,84,63
2014 Wimbledon R128,W vs Paszek,90.5,95.0,7.8,,,109,78,82.4,5.9,,,92,64
2014 Roland Garros R64,L vs Glushko,88.9,95.7,6.1,,,105,80,77.7,3.8,,,87,71
2014 Roland Garros R128,W vs Kovinic,85.8,92.7,6.8,,,105,75,74.7,6.0,,,90,62
2014 Australian Open R64,L vs Dellacqua,91.1,,,,,106,,,,,,,78
Career (34 matches),,89.6,94.8,5.6,97.2,92.6,114,64,78.3,5.2,81.3,77.6,104,60
