Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2018 Wuhan Q1,W vs Arruabarrena,83% (5/6),100% (5/5),0/0,14% (1/7),100% (1/1),5/5,2/2,0/0,1/1,0/0
2018 Guangzhou R32,L vs Lapko,25% (2/8),100% (2/2),2/5,86% (6/7),0% (0/6),0/2,0/0,1/2,0/0,1/1
2018 US Open R64,L vs Peterson,40% (4/10),75% (3/4),2/5,67% (6/9),0% (0/6),0/3,0/0,1/2,0/0,0/0
2018 US Open R128,W vs Vikhlyantseva,60% (6/10),50% (3/6),0/2,55% (6/11),67% (4/6),1/3,1/1,2/2,1/1,0/0
2018 Cincinnati Q1,L vs Cirstea,31% (4/13),75% (3/4),1/3,58% (7/12),43% (3/7),2/3,1/1,1/2,0/0,1/1
2018 Roland Garros R128,L vs Buzarnescu,33% (3/9),67% (2/3),1/4,78% (7/9),29% (2/7),1/2,0/0,0/1,0/0,0/0
2017 Doha Q1,L vs Pironkova,22% (2/9),100% (2/2),1/4,56% (5/9),0% (0/5),1/2,0/0,0/1,0/0,0/0
2017 Australian Open R128,L vs Vikhlyantseva,44% (4/9),50% (2/4),1/5,63% (5/8),0% (0/5),0/2,0/0,1/1,0/0,0/0
2017 Sydney Q2,L vs Vekic,43% (6/14),67% (4/6),0/3,43% (6/14),17% (1/6),3/4,1/2,0/2,0/1,0/1
2017 Sydney Q1,W vs Tjandramulia,75% (6/8),83% (5/6),0/0,29% (2/7),100% (2/2),4/4,1/1,0/0,0/0,0/0
2017 Shenzhen R16,L vs Konta,33% (4/12),75% (3/4),0/4,33% (4/12),0% (0/4),3/3,1/1,0/0,0/0,0/0
2017 Shenzhen R32,W vs Sakkari,67% (8/12),88% (7/8),2/3,73% (8/11),50% (4/8),3/5,0/0,0/1,0/0,0/0
2016 Tianjin R32,L vs Chang,25% (2/8),50% (1/2),1/5,86% (6/7),17% (1/6),0/1,0/0,0/0,0/0,0/0
2016 Beijing Q2,L vs Arruabarrena,50% (8/16),100% (8/8),4/9,65% (11/17),9% (1/11),4/7,0/1,0/1,0/0,0/1
2016 Beijing Q1,W vs Ma,86% (6/7),100% (6/6),1/1,29% (2/7),50% (1/2),4/5,1/1,0/0,1/1,0/0
2016 Guangzhou R32,L vs Shapatava,55% (6/11),67% (4/6),1/6,60% (6/10),0% (0/6),1/4,0/2,1/1,0/0,0/0
2016 US Open R64,L vs Williams,0% (0/9),- (0/0),0/2,56% (5/9),40% (2/5),0/0,0/0,1/2,0/0,0/1
2016 US Open R128,W vs Lottner,45% (5/11),40% (2/5),0/0,30% (3/10),100% (3/3),1/1,0/0,0/0,0/0,0/0
2016 Nanchang F,L vs Duan,62% (8/13),63% (5/8),1/5,58% (7/12),29% (2/7),2/4,0/0,0/0,0/0,0/0
2016 Nanchang SF,W vs Ozaki,75% (6/8),67% (4/6),0/0,25% (2/8),100% (2/2),4/4,2/2,0/0,1/1,0/0
2018 (6 matches),,42.9%,75.0%,31.6%,60.0%,30.3%,50.0%,100.0%,55.6%,100.0%,100.0%
2017 (6 matches),,46.9%,76.7%,21.1%,49.2%,23.3%,70.0%,75.0%,20.0%,0.0%,0.0%
2016 (40 matches),,51.0%,78.3%,34.1%,45.8%,31.1%,67.3%,77.8%,66.7%,90.0%,54.5%
2015 (12 matches),,51.4%,68.5%,28.6%,42.8%,18.6%,72.7%,90.9%,40.0%,75.0%,60.0%
2014 (22 matches),,49.4%,75.2%,20.5%,50.6%,27.3%,73.2%,56.0%,66.7%,85.7%,75.0%
Career (154 matches),,49.9%,75.9%,32.9%,47.6%,24.6%,66.9%,70.5%,55.6%,75.0%,51.9%
