Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2021 US Open R128,L vs Rublev,85.2%,67.3%,35.9%,65.0%,36.8%,57.1%,0.0%,0.0%,0.0%,2.7%,0.0%,252,279
2021 US Open Q3,W vs Sugita,65.0%,65.4%,27.8%,68.6%,24.2%,33.3%,0.0%,0.0%,0.0%,0.0%,-,43,102
2020 Australian Open R64,L vs Monfils,93.4%,69.9%,50.8%,68.7%,22.2%,40.0%,0.0%,0.0%,0.0%,1.7%,66.7%,216,219
2020 Australian Open R128,W vs Pospisil,95.1%,80.5%,44.3%,78.8%,69.2%,100.0%,0.0%,80.0%,100.0%,0.0%,-,81,170
2019 Washington R64,L vs Fratangelo,90.2%,74.3%,43.3%,69.0%,25.0%,30.0%,0.0%,0.0%,0.0%,0.0%,-,94,211
2019 Wimbledon R64,L vs Fabbiano,92.5%,67.7%,39.5%,61.2%,6.7%,18.2%,0.0%,0.0%,0.0%,0.9%,0.0%,13,136
2019 Wimbledon R128,W vs Arnaboldi,93.1%,79.6%,36.0%,77.4%,23.3%,60.0%,0.0%,0.0%,0.0%,0.8%,0.0%,70,222
2019 Surbiton CH R16,W vs Lopez,90.9%,67.1%,38.0%,68.5%,37.5%,33.3%,0.0%,0.0%,0.0%,0.0%,-,55,164
2019 Indian Wells R32,W vs Gunneswaran,88.5%,73.9%,41.7%,73.6%,18.2%,40.0%,0.0%,0.0%,0.0%,1.1%,0.0%,47,154
2019 Indian Wells R16,L vs Thiem,90.2%,70.3%,48.4%,66.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,150,74
2019 Pune F,L vs Anderson,86.6%,66.2%,35.1%,65.4%,19.2%,0.0%,0.0%,0.0%,0.0%,1.1%,0.0%,71,124
2018 Houston CH QF,L vs Koepfer,87.5%,60.0%,47.3%,56.8%,25.0%,0.0%,33.3%,50.0%,0.0%,2.5%,0.0%,22,57
2018 Monterrey CH F,L vs Ferrer,93.0%,62.3%,52.5%,57.1%,50.0%,60.0%,0.0%,0.0%,0.0%,1.5%,0.0%,147,148
2018 Newport R32,W vs De Minaur,76.8%,71.2%,38.5%,68.5%,13.6%,0.0%,100.0%,0.0%,0.0%,2.2%,0.0%,117,223
2018 Munich R32,L vs Kohlschreiber,77.6%,57.9%,36.7%,61.4%,31.6%,50.0%,50.0%,0.0%,0.0%,1.4%,0.0%,88,176
2018 Houston QF,W vs Kyrgios,78.8%,73.2%,37.3%,71.4%,27.8%,60.0%,0.0%,0.0%,0.0%,4.6%,33.3%,49,82
2017 s Hertogenbosch F,L vs Muller,96.6%,68.4%,40.6%,69.0%,33.3%,0.0%,0.0%,100.0%,0.0%,8.1%,66.7%,82,84
2017 Miami R32,L vs Kyrgios,63.9%,58.1%,39.9%,54.1%,31.4%,40.0%,40.0%,0.0%,0.0%,0.9%,0.0%,280,192
2016 Davis Cup World Group F RR,L vs Del Potro,85.4%,68.4%,38.0%,65.6%,34.3%,15.4%,100.0%,0.0%,0.0%,2.1%,0.0%,140,195
2016 Tokyo R16,W vs Tipsarevic,94.8%,67.3%,41.1%,64.2%,40.0%,42.9%,0.0%,0.0%,0.0%,0.9%,0.0%,76,200
Career (47 matches),,75.8%,65.6%,37.2%,63.5%,21.2%,25.3%,24.7%,10.5%,9.8%,1.6%,24.4%,92,151
