Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,452,235,217,52.0%,586-558,51.2%,6413-6296,50.5%,242-253,48.9%,439,92.0%,8.7%,23.9%,4.2%,65.3%,82.8%,53.2%,72.5%,28.1%,50.2%,1.02
Clay,132,56,76,42.4%,150-193,43.7%,1814-1949,48.2%,64-66,49.2%,124,88.9%,8.1%,19.3%,3.8%,64.8%,80.2%,51.1%,69.9%,28.0%,49.1%,0.93
Grass,118,74,44,62.7%,196-133,59.6%,1950-1814,51.8%,83-74,52.9%,118,94.8%,8.3%,25.5%,4.8%,66.8%,84.6%,55.6%,74.9%,27.9%,51.1%,1.11
Carpet,17,8,9,47.1%,19-22,46.3%,225-229,49.6%,9-10,47.4%,14,92.4%,5.4%,24.1%,3.3%,65.2%,84.1%,54.6%,73.8%,25.5%,49.8%,0.97
Grand Slams,117,54,63,46.2%,212-220,49.1%,2415-2451,49.6%,78-86,47.6%,117,91.3%,8.2%,23.4%,4.3%,66.4%,82.3%,52.5%,72.3%,27.5%,49.8%,0.99
Masters,145,63,82,43.4%,152-188,44.7%,1843-1937,48.8%,78-77,50.3%,145,90.4%,7.0%,22.0%,3.8%,64.9%,81.1%,52.9%,71.2%,27.3%,49.4%,0.95
Other Tours,438,247,191,56.4%,559-464,54.6%,5811-5552,51.1%,232-230,50.2%,431,92.9%,9.2%,23.9%,4.2%,65.4%,83.4%,53.8%,73.2%,28.5%,50.7%,1.06
Best of 5,130,60,70,46.2%,234-246,48.8%,2682-2729,49.6%,87-95,47.8%,118,91.2%,8.2%,23.4%,4.3%,66.3%,82.4%,52.5%,72.3%,27.5%,49.8%,0.99
Best of 3,589,313,276,53.1%,717-660,52.1%,7720-7559,50.5%,311-308,50.2%,577,92.2%,8.6%,23.4%,4.2%,65.2%,82.8%,53.5%,72.6%,28.2%,50.3%,1.03
Finals,20,9,11,45.0%,24-26,48.0%,286-277,50.8%,9-17,34.6%,20,92.3%,10.2%,24.3%,4.2%,65.7%,82.1%,49.9%,71.0%,27.3%,49.8%,0.94
Semi-finals,38,19,19,50.0%,40-42,48.8%,471-459,50.6%,15-25,37.5%,38,93.5%,8.8%,22.6%,3.6%,65.9%,82.0%,55.4%,73.0%,28.1%,50.4%,1.04
Quarter-finals,77,38,39,49.4%,90-95,48.6%,1048-1040,50.2%,42-52,44.7%,77,93.7%,7.1%,24.7%,3.9%,67.2%,84.0%,53.3%,73.9%,26.7%,50.2%,1.02
vs Righties,622,327,295,52.6%,822-776,51.4%,8937-8826,50.3%,343-341,50.1%,600,91.8%,8.7%,23.3%,4.1%,65.4%,82.6%,53.1%,72.4%,28.2%,50.2%,1.02
vs Lefties,97,46,51,47.4%,129-130,49.8%,1465-1462,50.1%,55-62,47.0%,95,92.9%,7.1%,24.1%,4.8%,66.2%,83.2%,54.7%,73.6%,26.7%,50.2%,1.01
vs Top 10,83,21,62,25.3%,68-155,30.5%,1184-1362,46.5%,36-71,33.6%,81,90.9%,3.9%,21.8%,3.2%,67.0%,81.3%,51.1%,71.4%,23.9%,48.1%,0.83
