Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2019 Umag QF,L vs Djere,3.0,2.8,3.2,48.7%,40.9%,50.0%,75.0%,55.0%,14.0%,6.0,5.0,2.0,2.2
2019 Barcelona R16,L vs Nadal,4.3,4.3,4.2,51.0%,53.4%,21.1%,25.0%,60.2%,7.1%,5.0,2.4,-11.0,-8.7
2019 Miami R128,W vs Ymer,4.4,3.4,5.4,47.7%,54.8%,47.1%,69.2%,58.3%,20.6%,-2.5,-1.3,7.0,6.4
2019 Indian Wells R64,L vs Monfils,4.1,3.7,4.5,51.4%,47.5%,53.8%,18.8%,65.9%,28.4%,3.0,1.7,-4.0,-6.2
2018 Hamburg F,L vs Basilashvili,3.9,3.6,4.1,60.0%,46.2%,20.0%,46.2%,52.7%,19.6%,-3.5,-2.5,-5.0,-4.5
2018 Madrid R16,L vs Zverev,3.4,4.0,2.6,36.2%,50.0%,44.4%,33.3%,52.4%,16.9%,5.0,8.1,-6.0,-12.2
2018 Indian Wells R16,L vs Del Potro,4.3,4.1,4.5,49.5%,50.9%,47.1%,44.4%,53.3%,24.4%,4.5,2.6,4.5,3.9
2017 Hamburg F,W vs Mayer,3.8,3.4,4.1,47.6%,56.1%,60.0%,60.0%,59.1%,26.4%,21.5,14.5,1.5,1.9
2016 Doha QF,L vs Djokovic,4.8,5.0,4.6,34.9%,40.0%,61.9%,50.0%,59.7%,27.1%,10.5,7.8,-2.0,-2.9
2015 Paris R64,W vs Klizan,3.5,3.3,3.6,63.9%,37.5%,40.0%,80.0%,56.1%,17.3%,3.5,3.9,-1.0,-1.7
2015 Stockholm R16,L vs Simon,4.4,5.0,3.9,40.0%,41.9%,54.5%,58.3%,56.1%,21.5%,5.0,4.3,-5.5,-7.9
2015 US Open R128,L vs Federer,2.6,3.3,2.0,37.0%,42.1%,50.0%,20.0%,52.6%,15.9%,-5.0,-7.2,-1.0,-2.0
2015 Nottingham QF,L vs Istomin,3.2,3.2,3.3,46.0%,59.6%,53.8%,41.7%,60.3%,19.1%,15.0,9.2,-7.0,-8.1
2015 Nice F,L vs Thiem,3.3,3.1,3.6,53.8%,44.0%,26.7%,30.8%,59.9%,7.8%,2.5,1.4,-8.0,-6.9
2015 Nice SF,W vs Coric,3.6,3.3,4.3,58.7%,33.3%,70.0%,57.1%,57.8%,12.8%,5.0,4.8,-11.0,-16.2
2015 Nice QF,W vs Monaco,4.5,4.6,4.5,52.2%,62.9%,52.9%,41.7%,44.7%,6.2%,-5.0,-4.5,-4.5,-3.3
2015 Madrid R32,W vs Lopez,3.2,3.4,3.0,51.2%,55.2%,76.9%,28.6%,58.4%,17.9%,21.0,18.8,-1.5,-2.3
2015 Miami R32,L vs Anderson,3.5,3.8,3.3,36.5%,52.6%,68.4%,66.7%,52.8%,28.0%,1.0,1.2,-1.5,-2.8
2014 Stockholm R32,W vs Young,3.6,2.7,4.1,60.5%,48.3%,53.8%,57.1%,46.2%,13.2%,5.5,5.7,7.0,7.4
2014 Hamburg F,W vs Ferrer,3.9,3.3,4.4,55.3%,53.8%,41.2%,53.3%,56.3%,11.0%,11.0,6.4,8.5,7.1
Career (22 matches),,3.7,3.6,3.8,49.1%,48.1%,46.9%,45.0%,56.1%,17.1%,4.9,3.8,-1.9,-2.2
