Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2019 Umag QF,L vs Djere,34.6%,49.0%,53.2%,41.5%,47.5%,67.2%,50.0%,59.3%,40.0%,44.4%,50.0%,18.9%,27.0%,56.7%,61
2019 Barcelona R16,L vs Nadal,21.2%,32.7%,52.6%,27.9%,21.0%,33.9%,46.9%,32.3%,66.7%,56.3%,40.0%,23.7%,34.2%,62.1%,65
2019 Miami R128,W vs Ymer,32.4%,41.9%,50.8%,39.2%,39.7%,50.0%,51.4%,52.1%,56.8%,52.4%,33.3%,28.2%,38.5%,50.0%,139
2019 Indian Wells R64,L vs Monfils,27.5%,40.7%,50.0%,34.6%,38.8%,53.1%,60.0%,52.0%,26.3%,50.0%,50.0%,17.6%,32.4%,39.3%,39
2018 Hamburg F,L vs Basilashvili,32.2%,44.8%,52.7%,40.7%,45.6%,63.2%,61.3%,58.6%,58.3%,54.5%,100.0%,7.7%,11.5%,41.7%,-45
2018 Madrid R16,L vs Zverev,22.8%,33.3%,43.2%,29.5%,25.6%,35.9%,37.9%,35.4%,75.0%,56.5%,50.0%,16.7%,27.8%,53.3%,-79
2018 Indian Wells R16,L vs Del Potro,25.5%,40.0%,52.5%,34.3%,29.4%,45.6%,58.3%,43.7%,66.7%,46.3%,33.3%,20.0%,32.5%,43.8%,-7
2017 Hamburg F,W vs Mayer,25.6%,45.3%,58.3%,35.1%,32.8%,55.7%,58.5%,46.2%,63.3%,67.7%,100.0%,9.5%,23.8%,57.9%,-30
2016 Doha QF,L vs Djokovic,18.5%,26.2%,42.6%,21.7%,25.0%,32.5%,40.0%,30.3%,57.9%,33.3%,0.0%,10.5%,21.1%,47.1%,-26
2015 Paris R64,W vs Klizan,40.0%,52.7%,54.8%,47.6%,46.2%,61.5%,57.1%,56.9%,31.3%,60.9%,100.0%,28.6%,35.7%,50.0%,110
2015 Stockholm R16,L vs Simon,18.5%,31.5%,44.2%,28.5%,22.2%,38.9%,57.1%,37.2%,68.8%,40.0%,100.0%,11.8%,17.6%,20.0%,4
2015 US Open R128,L vs Federer,21.4%,37.1%,43.5%,27.3%,26.3%,44.7%,39.3%,37.1%,94.1%,28.6%,25.0%,21.7%,39.1%,50.0%,72
2015 Nottingham QF,L vs Istomin,43.3%,53.8%,52.6%,51.0%,54.1%,67.6%,55.9%,64.9%,58.1%,34.9%,0.0%,17.9%,21.4%,47.8%,22
2015 Nice F,L vs Thiem,34.6%,48.5%,55.4%,40.5%,37.8%,51.0%,49.2%,45.6%,50.0%,60.7%,83.3%,26.7%,43.3%,72.7%,16
2015 Nice SF,W vs Coric,34.2%,44.7%,53.2%,40.5%,41.3%,54.3%,51.9%,51.7%,47.6%,48.0%,60.0%,25.9%,33.3%,55.0%,72
2015 Nice QF,W vs Monaco,28.2%,37.2%,51.9%,36.0%,44.7%,55.3%,61.5%,57.7%,56.5%,58.3%,66.7%,3.4%,10.3%,42.9%,-82
2015 Madrid R32,W vs Lopez,34.1%,53.4%,63.6%,41.7%,43.4%,64.2%,60.0%,56.0%,40.0%,57.9%,50.0%,21.9%,40.6%,68.0%,51
2015 Miami R32,L vs Anderson,24.5%,35.8%,52.8%,32.5%,34.6%,57.7%,64.7%,50.8%,46.2%,38.5%,-,17.4%,17.4%,42.1%,45
2014 Stockholm R32,W vs Young,51.0%,63.3%,68.2%,55.3%,56.7%,66.7%,76.9%,63.7%,76.9%,29.4%,-,47.1%,64.7%,55.6%,80
2014 Hamburg F,W vs Ferrer,29.9%,46.4%,56.3%,39.1%,43.5%,64.5%,60.0%,57.9%,53.8%,63.9%,100.0%,6.5%,16.1%,51.7%,-55
Career (22 matches),,29.8%,42.7%,51.0%,36.8%,37.8%,53.1%,52.3%,49.1%,56.5%,50.4%,54.2%,19.2%,29.4%,49.1%,68
