Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2021,309,171,180,1569,,,155,1557,163,1495,,,,
2020,135,482,132,1605,104,1594,106,1601,,,104,869,,
2019,92,603,98,1703,92,1670,74,1680,101,1594,61,1349,59,1693
2018,56,895,61,1761,68,1695,43,1748,74,1620,75,1140,79,1646
2017,52,909,78,1742,80,1681,60,1728,,,155,469,,
2016,139,448,92,1701,93,1656,70,1695,79,1606,120,640,92,1592
2015,35,1150,37,1838,51,1744,27,1822,47,1695,85,905,74,1636
2014,28,1299,46,1821,68,1708,32,1812,54,1659,70,1010,73,1626
2013,94,579,71,1748,79,1676,60,1723,116,1552,413,150,110,1529
2012,71,702,73,1742,92,1643,54,1737,120,1535,170,385,97,1577
2011,78,659,62,1772,91,1656,50,1768,107,1556,213,309,,
2010,94,572,85,1715,90,1645,66,1710,125,1519,99,780,50,1689
2009,75,607,94,1698,97,1623,93,1662,102,1544,162,418,,
2008,115,435,107,1691,107,1621,87,1674,144,1499,173,332,,
2007,179,235,192,1541,204,1476,169,1522,174,1462,161,349,,
2006,246,163,185,1542,167,1508,202,1482,,,255,218,,
2005,699,23,,,,,,,,,820,28,,
2004,1349,2,,,,,,,,,1760,1,,
2003,1432,1,,,,,,,,,,,,
