Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2023 US Open Q2,L vs Juvan,12.8%,19.8%,45.8%,14.0%,22.0%,51.2%,45.8%,57.7%,0.0%,12.1%,18.2%,37.9%,5.9%,93.8%,100.0%,-3
Career (1 matches),,12.8%,19.8%,45.8%,14.0%,22.0%,51.2%,45.8%,57.7%,0.0%,12.1%,18.2%,37.9%,5.9%,93.8%,100.0%,-3
