Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
8,Laura Pigossi [BRA],4,4,50.0%,2,2,0,100.0%,2022,2026,6,1.03,1.0%,4.5%,58.6%,59.8%,42.3%,52.5%,48.8%,68.9%,47.0%
5,Guiomar Maristany Zuleta De Reales [ESP],3,2,60.0%,0,0,0,-,2023,2024,1,0.66,0.0%,4.7%,61.2%,53.8%,42.4%,49.4%,33.3%,66.7%,25.0%
4,Carole Monnet [FRA],2,2,50.0%,1,0,1,0.0%,2023,2026,4,0.98,0.3%,6.3%,61.3%,56.8%,45.9%,52.6%,46.4%,55.8%,39.6%
4,Renata Zarazua [MEX],2,2,50.0%,0,0,0,-,2023,2025,2,1.15,1.3%,4.4%,61.3%,60.2%,61.3%,60.6%,45.2%,50.0%,47.6%
4,Polina Kudermetova [RUS],2,2,50.0%,0,0,0,-,2020,2023,0,,,,,,,,,,
4,Anastasia Gasanova [RUS],4,0,100.0%,1,1,0,100.0%,2016,2018,0,,,,,,,,,,
3,Despina Papamichail [GRE],1,2,33.3%,2,2,0,100.0%,2018,2026,2,0.93,0.9%,2.6%,59.8%,55.7%,40.4%,49.6%,47.1%,47.4%,46.7%
3,Sinja Kraus [AUT],2,1,66.7%,0,0,0,-,2025,2026,3,0.98,1.4%,5.5%,58.0%,61.4%,45.7%,54.8%,44.1%,51.7%,35.3%
3,Kayla Cross [CAN],2,1,66.7%,0,0,0,-,2024,2025,2,1.10,3.5%,3.5%,53.9%,65.8%,43.1%,55.3%,49.1%,55.0%,56.3%
3,Marina Stakusic [CAN],0,3,0.0%,2,1,1,50.0%,2024,2025,3,0.87,5.4%,3.6%,54.9%,61.8%,41.6%,52.7%,41.4%,54.1%,45.5%
3,Oksana Selekhmeteva [RUS],0,3,0.0%,0,0,0,-,2021,2025,1,0.60,0.0%,1.8%,68.4%,53.8%,38.9%,49.1%,30.4%,28.6%,100.0%
3,Moyuka Uchijima [JPN],1,2,33.3%,0,0,0,-,2022,2024,0,,,,,,,,,,
3,Jaqueline Cristian [ROU],2,1,66.7%,0,0,0,-,2023,2023,2,1.79,6.5%,7.5%,58.1%,79.6%,56.4%,69.9%,54.0%,66.7%,50.0%
3,Greet Minnen [BEL],0,3,0.0%,0,0,0,-,2018,2023,1,0.59,3.3%,0.0%,63.3%,47.4%,54.5%,50.0%,29.4%,55.6%,0.0%
3,Miriam Bianca Bulgaru [ROU],2,1,66.7%,0,0,0,-,2019,2023,0,,,,,,,,,,
