Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2004,9,1,8,11.1%,5-14,26.3%,75-105,41.7%,1-1,50.0%,1,-,-,0.0%,5.7%,64.3%,60.0%,28.0%,48.6%,41.9%,45.5%,0.82,R16 (Doha)
2002,32,17,15,53.1%,39-38,50.6%,378-353,51.7%,3-4,42.9%,0,,,,,,,,,,,,F (Dubai)
2001,85,56,29,65.9%,118-69,63.1%,965-776,55.4%,10-13,43.5%,0,,,,,,,,,,,,W (Waikoloa)
2000,52,31,21,59.6%,72-55,56.7%,642-560,53.4%,8-6,57.1%,0,,,,,,,,,,,,F (Tokyo)
1999,61,36,25,59.0%,68-53,56.2%,569-507,52.9%,9-5,64.3%,0,,,,,,,,,,,,F (Linz)
1998,79,52,27,65.8%,103-57,64.4%,814-624,56.6%,11-13,45.8%,0,,,,,,,,,,,,W (Filderstadt)
1997,66,43,23,65.2%,84-54,60.9%,663-562,54.1%,9-7,56.3%,0,,,,,,,,,,,,W (Palermo)
1996,38,21,17,55.3%,47-38,55.3%,408-356,53.4%,3-2,60.0%,0,,,,,,,,,,,,SF (Beijing)
1995,35,19,16,54.3%,41-31,56.9%,342-321,51.6%,3-4,42.9%,0,,,,,,,,,,,,SF (2x)
1994,24,10,14,41.7%,22-27,44.9%,211-232,47.6%,2-3,40.0%,0,,,,,,,,,,,,R16 (3x)
1993,30,11,19,36.7%,25-39,39.1%,266-305,46.6%,2-3,40.0%,0,,,,,,,,,,,,SF (Strasbourg)
1992,28,11,17,39.3%,24-36,40.0%,250-292,46.1%,4-1,80.0%,0,,,,,,,,,,,,QF (Strasbourg)
1991,21,10,11,47.6%,23-24,48.9%,219-209,51.2%,1-3,25.0%,0,,,,,,,,,,,,SF (Bol Island)
1990,2,0,2,0.0%,1-4,20.0%,18-30,37.5%,0-0,-,0,,,,,,,,,,,,R32 (Paris)
Career,562,318,244,56.6%,672-539,55.5%,5820-5232,52.7%,66-65,50.4%,1,-,-,0.0%,5.7%,64.3%,60.0%,28.0%,48.6%,41.9%,45.5%,0.82,
