Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2004,313,76,91,1631,49,1645,74,1601,,,,,,
2002,38,901,20,1799,16,1752,18,1736,36,1623,,,,
2001,11,2056,10,1847,8,1791,20,1746,23,1656,,,,
2000,17,1413,16,1829,12,1780,25,1719,36,1634,,,,
1999,13,1635,23,1807,21,1737,31,1718,44,1624,,,,
1998,14,1898,35,1766,39,1684,11,1762,16,1686,,,,
1997,14,1811,14,1868,12,1785,12,1783,19,1693,,,,
1996,41,626,43,1756,37,1700,58,1675,52,1603,,,,
1995,41,35,36,1787,31,1727,68,1660,41,1636,,,,
1994,81,20,87,1694,86,1633,117,1604,63,1589,,,,
1993,100,14,86,1697,75,1653,109,1620,146,1476,,,,
1992,106,11,185,1594,198,1521,151,1577,153,1471,,,,
1991,109,11,112,1661,149,1570,98,1622,,,,,,
1990,170,5,187,1575,198,1507,179,1527,,,,,,
1989,265,2,217,1530,234,1459,209,1485,,,,,,
