Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,4,2,2,50.0%,4-5,44.4%,36-44,45.0%,1-0,100.0%,4,53.8%,35.0%,2.6%,5.2%,65.5%,56.0%,44.6%,52.1%,44.1%,48.2%,0.92,QF (Oeiras 125 Indoor 2)
2025,3,2,1,66.7%,5-3,62.5%,39-32,54.9%,0-0,-,3,57.1%,52.8%,3.3%,4.1%,68.2%,57.5%,43.6%,53.1%,52.7%,52.9%,1.12,QF (Bari 125)
2024,7,5,2,71.4%,10-8,55.6%,85-71,54.5%,0-0,-,7,64.9%,44.3%,2.1%,5.5%,64.6%,65.1%,44.6%,57.9%,47.7%,52.6%,1.13,F (Valencia 125)
2023,33,26,7,78.8%,55-21,72.4%,406-298,57.7%,5-0,100.0%,13,59.6%,49.7%,1.3%,3.8%,66.9%,59.6%,41.4%,53.6%,49.3%,51.5%,1.06,W (3x)
2022,37,22,15,59.5%,49-40,55.1%,424-376,53.0%,4-5,44.4%,24,59.8%,45.8%,1.3%,4.2%,67.3%,56.7%,46.0%,53.2%,48.5%,50.9%,1.04,F (2x)
2021,18,8,10,44.4%,20-23,46.5%,197-211,48.3%,2-2,50.0%,4,60.5%,30.2%,1.3%,4.9%,65.5%,57.2%,49.1%,54.4%,43.1%,48.6%,0.95,SF (W80 Valencia)
2020,15,12,3,80.0%,24-9,72.7%,177-121,59.4%,0-2,0.0%,0,,,,,,,,,,,,W (W25 Sunderland)
2019,38,21,17,55.3%,49-41,54.4%,435-402,52.0%,2-4,33.3%,4,60.0%,48.6%,0.4%,4.1%,65.8%,64.4%,38.0%,55.4%,49.8%,52.7%,1.12,W (W80 Biarritz)
2018,21,10,11,47.6%,21-25,45.7%,221-226,49.4%,0-2,0.0%,3,43.2%,46.2%,0.4%,4.5%,61.6%,56.4%,35.5%,48.3%,47.6%,48.0%,0.92,SF (Suzhou $100K)
2017,33,22,11,66.7%,47-27,63.5%,382-325,54.0%,7-1,87.5%,1,50.0%,11.1%,2.2%,2.2%,71.7%,57.6%,30.8%,50.0%,35.1%,41.7%,0.70,W (2x)
2016,67,52,15,77.6%,102-43,70.3%,759-502,60.2%,10-5,66.7%,0,,,,,,,,,,,,W (4x)
2015,46,31,15,67.4%,63-38,62.4%,495-399,55.4%,7-2,77.8%,0,,,,,,,,,,,,W (2x)
2014,50,34,16,68.0%,75-43,63.6%,582-471,55.3%,6-4,60.0%,0,,,,,,,,,,,,W (3x)
2013,44,25,19,56.8%,54-42,56.3%,472-414,53.3%,6-5,54.5%,0,,,,,,,,,,,,W (Prokuplje 10K)
2012,35,20,15,57.1%,41-34,54.7%,352-315,52.8%,3-2,60.0%,0,,,,,,,,,,,,W (Varna 10K)
2011,22,13,9,59.1%,25-19,56.8%,209-193,52.0%,3-0,100.0%,0,,,,,,,,,,,,W (Monastir 10K)
2010,16,7,9,43.8%,16-18,47.1%,151-147,50.7%,1-0,100.0%,0,,,,,,,,,,,,F (Sarajevo 10K)
2009,10,6,4,60.0%,11-9,55.0%,91-89,50.6%,0-0,-,0,,,,,,,,,,,,SF (Rousse 10K)
Career,499,318,181,63.7%,671-448,60.0%,5513-4636,54.3%,57-34,62.6%,63,58.9%,45.0%,1.5%,4.3%,66.4%,58.6%,43.7%,53.6%,48.0%,50.8%,1.04,
