Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Hamburg QF,L vs Boisson,7.8%,13.7%,46.7%,2.7%,8.1%,44.4%,21.1%,88.9%,100.0%,25.0%,33.3%,55.6%,0.0%,83.3%,100.0%,68
2025 s Hertogenbosch R32,L vs Mertens,12.0%,18.0%,34.1%,15.2%,21.2%,28.6%,40.0%,27.8%,33.3%,5.9%,11.8%,43.8%,40.0%,0.0%,0.0%,-104
2025 Madrid R128,L vs Eala,15.4%,17.3%,26.8%,13.2%,15.8%,27.3%,80.0%,38.9%,0.0%,27.3%,27.3%,25.0%,50.0%,14.3%,0.0%,128
2025 Australian Open R128,L vs Kasatkina,6.3%,12.5%,47.5%,2.9%,8.8%,48.5%,50.0%,75.0%,83.3%,22.2%,33.3%,42.9%,0.0%,0.0%,0.0%,46
2024 Tokyo R32,W vs Kudermetova,25.0%,30.9%,55.1%,32.6%,39.1%,61.3%,42.9%,36.0%,33.3%,10.0%,15.0%,44.4%,71.4%,23.1%,-,-14
2024 Osaka R32,L vs Lamens,21.6%,29.4%,40.0%,26.7%,36.7%,50.0%,33.3%,40.0%,33.3%,18.8%,25.0%,23.1%,50.0%,0.0%,0.0%,46
2024 Beijing R64,L vs Badosa,9.8%,17.6%,43.2%,12.1%,24.2%,44.8%,42.1%,78.6%,100.0%,6.3%,6.3%,40.0%,50.0%,80.0%,75.0%,-55
2024 Olympics R32,L vs Navarro,11.5%,19.7%,45.6%,10.7%,21.4%,52.0%,38.2%,76.0%,88.9%,15.2%,18.2%,28.6%,26.7%,44.4%,60.0%,33
2024 Prague R32,W vs Jamrichova,26.3%,34.2%,51.9%,36.5%,46.2%,57.6%,30.0%,34.4%,25.0%,5.0%,10.0%,42.1%,81.8%,22.2%,0.0%,-71
2024 Charleston R32,L vs Sakkari,24.2%,31.8%,35.4%,30.0%,35.0%,21.4%,36.8%,33.3%,50.0%,16.7%,29.2%,55.0%,46.2%,36.4%,33.3%,-11
2024 Hobart QF,L vs Navarro,19.5%,28.7%,38.2%,23.8%,34.9%,39.6%,70.0%,45.5%,28.6%,9.1%,13.6%,35.0%,58.3%,10.0%,0.0%,-51
2023 Roland Garros R128,L vs Alexandrova,21.4%,24.3%,32.7%,26.5%,30.6%,38.9%,25.0%,68.0%,100.0%,13.3%,13.3%,15.4%,0.0%,50.0%,-,-9
2019 Osaka R16,L vs Osaka,20.0%,23.6%,39.0%,17.1%,22.9%,44.8%,38.9%,52.9%,0.0%,29.4%,29.4%,25.0%,62.5%,11.1%,0.0%,77
2018 Istanbul R32,W vs Ivakhnenko,6.5%,7.8%,36.6%,3.3%,5.0%,39.7%,77.4%,20.7%,37.5%,18.8%,18.8%,23.1%,71.4%,0.0%,0.0%,-33
2016 ITF Sofia R32,W vs Kovalets,15.6%,20.8%,58.1%,16.4%,23.6%,54.3%,46.2%,37.9%,66.7%,15.8%,15.8%,68.8%,71.4%,16.7%,0.0%,38
Last 52 Weeks (3 matches),,11.8%,16.3%,36.2%,10.2%,14.8%,34.0%,48.1%,51.9%,35.7%,17.5%,22.5%,42.4%,30.0%,30.0%,40.0%,30
Career (15 matches),,16.4%,22.4%,42.6%,18.0%,25.1%,44.2%,46.5%,50.0%,55.4%,15.0%,19.1%,38.3%,48.0%,27.1%,30.0%,29
