Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 Hamburg QF,L vs Boisson,33% (3/9),67% (2/3),0/4,67% (6/9),17% (1/6),0/2,0/0,0/1,0/0,0/1
2025 s Hertogenbosch R32,L vs Mertens,25% (2/8),100% (2/2),1/4,75% (6/8),0% (0/6),1/2,0/0,0/2,0/0,0/1
2025 Madrid R128,L vs Eala,33% (3/9),100% (3/3),2/6,88% (7/8),14% (1/7),0/3,0/0,1/1,0/0,0/0
2025 Australian Open R128,L vs Kasatkina,25% (2/8),50% (1/2),0/4,63% (5/8),0% (0/5),0/1,0/0,0/1,0/0,0/0
2024 Tokyo R32,W vs Kudermetova,36% (4/11),100% (4/4),1/2,20% (2/10),0% (0/2),2/2,0/1,0/0,0/0,0/0
2024 Osaka R32,L vs Lamens,13% (1/8),0% (0/1),0/4,71% (5/7),20% (1/5),0/0,0/0,0/0,0/0,0/0
2024 Beijing R64,L vs Badosa,33% (3/9),33% (1/3),1/4,63% (5/8),20% (1/5),1/1,0/0,0/0,0/0,0/0
2024 US Open R128,L vs Alexandrova,33% (5/15),60% (3/5),2/5,73% (11/15),36% (4/11),1/3,0/0,1/3,0/0,1/2
2024 Paris Olympics R32,L vs Navarro,29% (4/14),100% (4/4),2/7,67% (10/15),20% (2/10),0/4,0/1,2/3,0/0,0/1
2024 Prague R32,W vs Jamrichova,40% (4/10),100% (4/4),1/3,45% (5/11),40% (2/5),3/4,1/1,2/2,1/1,0/0
2024 Wimbledon R128,L vs Wang,38% (5/13),60% (3/5),0/3,43% (6/14),17% (1/6),2/3,1/2,1/2,0/0,0/1
2024 Charleston R32,L vs Sakkari,22% (2/9),50% (1/2),0/3,67% (6/9),33% (2/6),1/1,0/0,0/1,0/0,0/1
2024 Hobart QF,L vs Navarro,43% (6/14),83% (5/6),4/7,69% (9/13),22% (2/9),3/5,1/1,2/2,0/0,1/1
2023 US Open R128,L vs Stearns,60% (6/10),67% (4/6),3/6,67% (6/9),0% (0/6),1/4,0/0,1/1,0/0,1/1
2023 Wimbledon R64,L vs Boulter,17% (2/12),100% (2/2),0/5,50% (6/12),17% (1/6),1/2,1/1,1/1,0/0,1/1
2023 Wimbledon R128,W vs Pera,67% (10/15),70% (7/10),2/3,33% (5/15),20% (1/5),4/6,1/2,1/1,0/0,0/0
2023 Roland Garros R128,L vs Alexandrova,55% (6/11),67% (4/6),1/6,64% (7/11),0% (0/7),1/3,0/0,0/1,0/0,0/1
2022 Wimbledon R64,L vs Sakkari,33% (3/9),33% (1/3),1/3,50% (5/10),20% (1/5),0/1,0/0,1/2,0/0,0/1
2022 Wimbledon R128,W vs Saville,41% (7/17),71% (5/7),1/4,63% (10/16),60% (6/10),3/4,1/3,0/0,0/1,0/0
2021 US Open R128,L vs Davis,23% (3/13),100% (3/3),0/3,58% (7/12),43% (3/7),2/3,1/1,1/2,0/0,1/1
2025 (4 matches),,29.4%,80.0%,16.7%,72.7%,8.3%,12.5%,-,20.0%,-,0.0%
2024 (9 matches),,33.0%,73.5%,28.9%,57.8%,25.4%,56.5%,50.0%,61.5%,100.0%,33.3%
2023 (4 matches),,50.0%,70.8%,30.0%,51.1%,8.3%,46.7%,66.7%,75.0%,-,66.7%
2022 (2 matches),,38.5%,60.0%,28.6%,57.7%,46.7%,60.0%,33.3%,50.0%,0.0%,0.0%
2021 (1 matches),,23.1%,100.0%,0.0%,58.3%,42.9%,66.7%,100.0%,50.0%,-,100.0%
Career (187 matches),,56.6%,81.4%,44.2%,51.2%,19.6%,61.5%,64.6%,53.4%,67.4%,45.3%
