Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2006,324,68,144,1597,147,1543,147,1503,93,1554,,,,
2005,62,546,78,1733,80,1658,104,1597,57,1646,,,,
2004,48,673,72,1761,75,1690,113,1601,56,1642,,,,
2003,44,757,70,1763,73,1686,106,1587,48,1661,,,,
2002,172,189,146,1579,136,1536,169,1481,105,1535,,,,
2001,155,196,156,1565,139,1541,165,1463,128,1491,,,,
2000,104,317,82,1719,74,1666,114,1584,60,1618,,,,
1999,110,262,85,1728,83,1646,97,1606,58,1631,,,,
1998,43,607,71,1758,62,1701,94,1602,57,1640,,,,
1997,51,501,57,1779,51,1710,92,1608,49,1643,,,,
1996,139,158,129,1608,112,1562,140,1509,116,1469,,,,
1995,86,18,117,1637,103,1577,,,97,1517,,,,
1994,166,8,113,1584,110,1526,110,1470,,,,,,
1991,537,,340,1440,304,1410,313,1413,,,,,,
1990,403,,400,1264,374,1243,340,1296,,,,,,
1989,415,,398,1165,389,1144,363,1202,,,,,,
