Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2021,14,9,5,64.3%,27-15,64.3%,225-204,52.4%,6-3,66.7%,13,87.1%,17.8%,8.5%,0.9%,65.8%,73.5%,56.8%,67.8%,35.4%,51.2%,1.10,QF (2x)
2020,6,5,1,83.3%,15-8,65.2%,122-95,56.2%,3-1,75.0%,6,86.0%,24.5%,9.7%,1.9%,66.0%,74.2%,53.0%,67.0%,38.5%,52.8%,1.17,SF (Australian Open)
2019,66,55,11,83.3%,131-38,77.5%,970-681,58.8%,20-7,74.1%,61,91.2%,25.7%,9.8%,2.1%,64.7%,78.1%,59.4%,71.5%,39.2%,54.6%,1.38,W (4x)
2018,61,51,10,83.6%,117-35,77.0%,902-661,57.7%,20-13,60.6%,58,91.1%,23.8%,12.1%,2.5%,62.0%,80.3%,58.5%,72.0%,38.5%,54.4%,1.37,W (4x)
2017,60,55,5,91.7%,127-31,80.4%,923-635,59.2%,22-9,71.0%,57,91.3%,26.7%,12.5%,2.3%,62.2%,79.8%,59.5%,72.1%,39.8%,54.9%,1.42,W (7x)
2016,28,21,7,75.0%,57-21,73.1%,440-328,57.3%,9-5,64.3%,28,89.9%,24.1%,10.9%,2.2%,62.4%,79.9%,56.3%,71.0%,38.5%,53.8%,1.33,F (Brisbane)
2015,74,63,11,85.1%,152-38,80.0%,1110-740,60.0%,17-13,56.7%,72,91.9%,27.3%,11.5%,2.4%,63.9%,80.1%,57.3%,71.9%,39.7%,55.0%,1.41,W (6x)
2014,83,71,12,85.5%,173-48,78.3%,1274-893,58.8%,27-14,65.9%,74,90.7%,26.1%,9.9%,1.9%,63.9%,78.7%,57.9%,71.2%,39.9%,54.7%,1.38,W (5x)
2013,66,48,18,72.7%,120-56,68.2%,957-733,56.6%,15-11,57.7%,66,86.9%,25.9%,8.8%,2.1%,62.6%,76.5%,55.3%,68.6%,39.8%,53.8%,1.27,W (Halle)
2012,87,74,13,85.1%,169-51,76.8%,1286-907,58.6%,21-15,58.3%,80,91.0%,25.9%,10.7%,1.9%,62.9%,77.7%,59.9%,71.1%,38.8%,54.4%,1.34,W (6x)
2011,76,64,12,84.2%,158-42,79.0%,1141-784,59.3%,20-9,69.0%,73,89.6%,28.1%,9.5%,1.8%,63.7%,78.7%,57.1%,70.9%,40.1%,54.9%,1.38,W (4x)
2010,79,66,13,83.5%,156-44,78.0%,1145-803,58.8%,21-10,67.7%,78,89.3%,27.2%,11.1%,1.9%,61.9%,78.2%,56.3%,69.9%,40.2%,54.5%,1.34,W (5x)
2009,73,61,12,83.6%,163-45,78.4%,1211-866,58.3%,26-11,70.3%,71,90.1%,24.5%,11.0%,2.2%,62.5%,79.4%,57.0%,71.0%,38.3%,54.0%,1.32,W (4x)
2008,83,67,16,80.7%,164-47,77.7%,1228-866,58.6%,25-13,65.8%,80,89.2%,27.0%,11.3%,1.2%,64.1%,76.9%,57.9%,70.1%,40.1%,54.5%,1.34,W (4x)
2007,78,69,9,88.5%,170-36,82.5%,1207-818,59.6%,30-10,75.0%,75,89.2%,28.6%,10.4%,1.5%,61.9%,77.3%,59.0%,70.3%,40.9%,54.9%,1.38,W (8x)
2006,97,92,5,94.8%,221-40,84.7%,1552-962,61.7%,37-14,72.5%,95,90.2%,31.6%,8.8%,1.6%,62.7%,76.7%,58.9%,70.1%,42.0%,55.6%,1.40,W (12x)
2005,85,81,4,95.3%,194-31,86.2%,1340-859,60.9%,28-11,71.8%,84,89.2%,30.7%,9.1%,2.3%,62.9%,76.3%,58.6%,69.8%,41.7%,55.2%,1.38,W (11x)
2004,81,75,6,92.6%,179-33,84.4%,1245-769,61.8%,21-5,80.8%,74,91.6%,30.5%,10.1%,2.8%,61.6%,78.2%,57.6%,70.3%,41.5%,55.5%,1.40,W (11x)
2003,93,77,16,82.8%,181-54,77.0%,1356-934,59.2%,28-17,62.2%,82,87.1%,30.2%,10.3%,3.9%,59.5%,76.8%,56.1%,68.4%,41.8%,54.6%,1.32,W (7x)
2002,84,61,23,72.6%,142-63,69.3%,1130-873,56.4%,18-12,60.0%,78,86.0%,24.9%,9.0%,3.5%,59.9%,75.8%,53.5%,66.9%,38.7%,52.6%,1.17,W (3x)
2001,70,49,21,70.0%,123-73,62.8%,1069-927,53.6%,27-17,61.4%,66,83.4%,23.3%,9.1%,3.5%,59.6%,74.4%,52.6%,65.6%,38.5%,51.9%,1.12,W (Milan)
2000,66,36,30,54.5%,93-80,53.8%,886-850,51.0%,18-16,52.9%,57,82.1%,19.3%,8.3%,4.2%,58.5%,72.2%,52.4%,64.0%,36.2%,50.4%,1.01,F (2x)
1999,30,13,17,43.3%,36-44,45.0%,389-414,48.4%,6-11,35.3%,25,75.7%,20.1%,6.1%,4.5%,57.6%,70.4%,48.9%,61.3%,36.3%,49.0%,0.94,SF (Vienna)
1998,5,2,3,40.0%,4-6,40.0%,46-48,48.9%,1-1,50.0%,5,76.1%,21.7%,7.8%,4.5%,55.5%,70.8%,50.4%,61.7%,37.5%,49.4%,0.98,QF (Toulouse)
Career,1545,1265,280,81.9%,3072-979,75.8%,23154-16650,58.2%,466-248,65.3%,1458,88.8%,26.6%,10.0%,2.4%,62.1%,77.3%,56.8%,69.5%,39.7%,54.1%,1.30,
