Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2020 Australian Open Q1,L vs Benchetrit,5.2,5.9,4.3,42.4%,56.3%,44.4%,39.1%,57.9%,82.1%,-9.5,-6.3,1.5,7.9
2020 ATP Cup RR,W vs Cozbinov,6.3,6.4,6.3,50.0%,48.1%,63.3%,54.7%,42.0%,86.9%,0.0,0.0,4.5,10.0
2019 Eckental CH F,L vs Vesely,3.6,3.6,3.7,41.6%,65.6%,60.0%,41.7%,43.7%,90.1%,8.5,10.2,0.5,5.0
2017 Sofia QF,L vs Goffin,4.5,4.2,4.9,47.5%,32.3%,45.5%,28.6%,43.0%,80.3%,-3.5,-4.1,-3.0,-12.0
2017 Canberra CH SF,L vs Struff,3.5,3.8,3.3,42.5%,45.0%,63.6%,70.0%,40.8%,65.0%,9.5,14.2,5.5,16.2
2017 Canberra CH QF,W vs Shapovalov,3.4,3.3,3.4,57.3%,50.0%,50.0%,71.4%,63.5%,70.5%,12.0,12.8,0.5,3.3
2016 Orleans CH R16,L vs Medvedev,5.4,5.5,5.3,47.0%,34.6%,14.3%,50.0%,47.2%,76.7%,-9.0,-6.9,0.0,0.0
2016 Liberec CH SF,W vs Safranek,4.7,4.2,5.2,60.0%,53.8%,56.3%,72.7%,49.8%,67.3%,9.5,9.7,2.0,5.6
2016 Lyon CH F,W vs Monteiro,3.7,3.3,4.0,51.8%,54.5%,66.7%,50.0%,58.4%,68.3%,3.0,2.9,-1.0,-4.3
2015 Rennes CH R32,W vs Jahn,3.9,4.3,3.6,53.0%,52.8%,66.7%,54.5%,55.9%,76.2%,1.0,0.9,4.0,19.0
2015 Davis Cup World Group SF RR,W vs Delbonis,4.2,4.1,4.2,49.3%,60.4%,46.9%,52.2%,52.2%,68.8%,11.5,5.8,1.5,2.5
2015 US Open R64,L vs Federer,3.5,4.0,2.9,41.3%,34.5%,33.3%,0.0%,50.3%,61.6%,-5.0,-6.5,-1.0,-3.3
2012 Olympics R64,W vs Berdych,4.3,3.8,4.8,60.9%,48.1%,33.3%,45.5%,45.0%,80.0%,11.5,14.7,-3.5,-16.7
Career (13 matches),,4.4,4.4,4.4,49.1%,50.0%,51.3%,49.3%,49.1%,77.1%,3.0,2.6,0.9,3.1
