Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2021,455,81,,,,,,,,,,,,
2020,273,196,,,,,,,,,,,,
2019,157,332,101,1699,79,1687,92,1638,85,1619,,,,
2017,77,667,42,1822,41,1773,43,1775,54,1667,319,180,,
2016,86,658,53,1791,52,1739,45,1754,,,871,43,,
2015,86,638,85,1719,69,1696,85,1667,78,1617,602,90,,
2014,160,317,82,1727,73,1696,80,1670,60,1645,1050,25,,
2013,164,316,98,1690,95,1633,85,1664,57,1654,466,120,,
2012,93,571,54,1785,56,1727,52,1744,42,1708,227,290,,
2011,88,622,52,1805,49,1747,44,1778,45,1687,955,27,,
2010,109,521,77,1729,76,1685,64,1715,,,183,389,,
2009,122,451,130,1641,158,1540,92,1664,82,1583,796,37,,
2008,61,681,53,1798,59,1720,54,1752,60,1644,129,455,94,1586
2007,86,474,69,1746,78,1663,50,1720,,,417,118,,
2006,483,57,,,,,,,,,,,,
2005,153,271,146,1604,276,1375,164,1533,125,1514,276,174,,
2004,368,79,,,,,,,,,696,42,,
2003,482,48,,,,,,,,,871,23,,
2002,1055,4,,,,,,,,,,,,
