Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2021 US Open R128,L vs Raducanu,64.9%,51.4%,10.5%,3/3,2.77,13.6%,64.4%,51.7%,4.4%,2.67,21.4%,88.9%,50.0%,44.4%,2.94,0.0%
2021 ITF La Bisbal R32,L vs Jimenez Kasintseva,83.5%,53.5%,10.7%,6/5,2.53,1.4%,86.7%,59.6%,6.7%,2.48,2.4%,89.5%,44.1%,18.4%,2.60,0.0%
2021 Bogota QF,L vs Osorio,77.3%,47.1%,19.7%,10/3,2.58,12.9%,84.2%,43.8%,7.9%,2.57,27.5%,76.0%,52.6%,40.0%,2.59,0.0%
2020 Linz R16,L vs Sabalenka,69.1%,36.8%,9.1%,0/5,2.48,12.8%,72.2%,34.6%,0.0%,2.56,22.7%,75.0%,41.7%,31.3%,2.38,0.0%
2019 Indian Wells R32,L vs Andreescu,55.8%,37.5%,7.0%,1/2,2.38,0.0%,51.7%,40.0%,0.0%,2.27,0.0%,69.2%,33.3%,23.1%,2.47,0.0%
2019 Indian Wells R64,W vs Stephens,82.4%,61.9%,2.0%,1/0,2.64,11.8%,84.2%,56.3%,0.0%,2.56,25.0%,90.9%,80.0%,9.1%,2.72,0.0%
2019 Indian Wells R128,W vs Vickery,87.0%,61.7%,4.3%,0/3,2.32,10.4%,91.3%,57.1%,0.0%,2.68,17.2%,85.7%,72.2%,14.3%,1.77,0.0%
2018 Prague Q3,L vs Zarytska,90.6%,54.2%,3.8%,2/0,2.45,2.0%,95.1%,51.3%,0.0%,2.41,3.3%,100.0%,66.7%,22.2%,2.51,0.0%
2018 Lugano SF,L vs Sabalenka,63.5%,54.5%,21.2%,2/9,2.83,5.0%,64.5%,45.0%,3.2%,2.82,11.8%,65.0%,69.2%,50.0%,2.83,0.0%
2018 Acapulco F,L vs Tsurenko,77.5%,44.2%,1.8%,0/2,2.32,7.6%,84.6%,42.4%,0.0%,2.22,17.6%,87.0%,50.0%,8.7%,2.40,0.0%
2018 ITF Midland R16,L vs Buzarnescu,68.3%,48.8%,8.3%,2/3,2.53,26.8%,55.3%,38.1%,2.6%,2.56,45.2%,90.9%,60.0%,18.2%,2.49,4.0%
2018 Shenzhen R32,L vs Alexandrova,72.4%,38.1%,12.1%,5/2,2.98,0.0%,77.8%,23.8%,18.5%,2.87,0.0%,80.8%,52.4%,7.7%,3.26,0.0%
2017 Tashkent R16,W vs Vondrousova,74.3%,56.8%,3.7%,2/2,2.43,25.5%,80.3%,55.1%,1.6%,2.26,46.0%,86.5%,59.4%,8.1%,2.62,2.3%
2016 Istanbul SF,L vs Buyukakcay,92.2%,42.6%,7.8%,0/4,2.59,1.9%,91.7%,40.9%,0.0%,2.38,3.3%,100.0%,66.7%,1.33,2.87,0.0%
2016 Istanbul R32,W vs Soylu,87.3%,69.1%,4.8%,2/1,2.35,1.9%,91.5%,72.1%,0.0%,2.16,3.3%,85.7%,58.3%,21.4%,2.60,0.0%
2016 Katowice R32,W vs Tsurenko,83.3%,60.0%,1.9%,1/0,2.17,17.5%,90.9%,70.0%,3.0%,1.94,25.9%,88.2%,40.0%,0.0%,2.63,0.0%
2015 Luxembourg QF,W vs Siegemund,84.6%,48.5%,6.4%,2/3,2.52,8.5%,88.3%,47.2%,0.0%,2.35,5.7%,92.9%,53.8%,35.7%,2.77,12.5%
2015 Luxembourg R16,W vs Friedsam,81.3%,63.5%,4.7%,1/2,2.40,1.9%,85.0%,58.8%,2.5%,2.30,3.7%,81.8%,72.2%,9.1%,2.53,0.0%
2015 Linz R32,W vs Paszek,83.6%,51.0%,3.3%,1/1,2.37,30.3%,97.5%,51.3%,0.0%,2.40,66.7%,70.6%,50.0%,11.8%,2.34,0.0%
2015 Bucharest R32,L vs Tatishvili,84.7%,42.6%,11.1%,2/6,2.39,7.0%,91.1%,39.0%,2.2%,2.30,10.3%,74.1%,50.0%,25.9%,2.50,3.6%
Career (23 matches),,78.7%,50.5%,7.5%,43.1%,2.48,9.5%,82.4%,48.7%,2.5%,2.41,16.6%,83.3%,54.7%,20.3%,2.56,1.2%
