Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2021 US Open R128,L vs Raducanu,1.02,0.69,50.1,2.5,6.7%,50.0%,0.0%,34.6%,38.7%,38.5%
2021 Roland Garros R128,L vs Paolini,0.95,0.73,59.4,3.3,10.3%,58.6%,11.5%,53.8%,42.4%,24.2%
2021 W60+H La Bisbal D'Emporda R32,L vs Jimenez Kasintseva,0.92,0.86,80.8,2.9,0.0%,47.1%,2.1%,47.9%,59.6%,39.2%
2021 Bogota QF,L vs Osorio,1.13,0.85,66.4,2.3,0.0%,52.0%,0.0%,39.6%,40.0%,41.9%
2020 Linz R16,L vs Sabalenka,0.97,0.58,40.0,2.3,0.0%,50.0%,3.8%,46.2%,28.6%,33.3%
2020 Roland Garros R128,L vs Tig,0.93,0.78,56.4,2.1,0.0%,52.5%,2.6%,44.7%,40.0%,46.5%
2019 Karlsruhe R32,W vs Niemeier,1.15,1.21,57.9,2.8,-,61.7%,-,47.7%,43.2%,51.2%
2019 W100 Contrexeville SF,L vs Zavatska,0.92,0.86,69.7,4.8,-,53.8%,-,46.0%,43.9%,50.0%
2019 Wimbledon R128,L vs Kanepi,0.97,0.89,82.2,6.2,0.0%,58.1%,3.4%,46.6%,46.6%,40.7%
2019 W80 Cagnes Sur Mer R16,W vs Korpatsch,1.22,1.22,63.5,3.0,1.9%,48.1%,1.9%,50.0%,51.0%,51.1%
2019 Prague R32,L vs Cepelova,1.03,0.41,35.1,2.0,8.0%,40.0%,0.0%,45.5%,23.8%,22.2%
2019 Lugano QF,L vs Ferro,0.89,0.83,70.5,3.0,2.5%,55.0%,2.7%,56.8%,53.5%,28.6%
2019 Lugano R16,W vs Golubic,1.19,2.43,30.9,2.0,0.0%,52.4%,5.3%,78.9%,65.0%,80.0%
2019 Lugano R32,W vs Parmentier,1.25,1.46,44.0,2.1,0.0%,60.5%,0.0%,55.6%,53.3%,44.4%
2019 Monterrey R16,L vs Rybarikova,0.98,0.91,66.7,4.9,12.0%,54.0%,4.4%,62.2%,40.7%,37.5%
2019 Monterrey R32,W vs Bogdan,1.04,1.62,50.2,2.0,3.1%,78.1%,3.4%,62.1%,44.7%,47.1%
2019 Indian Wells R32,L vs Andreescu,0.75,0.33,26.8,2.0,0.0%,52.2%,4.8%,42.9%,13.0%,35.0%
2019 Indian Wells R64,W vs Stephens,1.05,1.80,39.8,2.4,11.5%,73.1%,4.2%,62.5%,55.6%,54.2%
2019 Indian Wells R128,W vs Vickery,1.08,1.29,53.6,3.6,18.8%,59.4%,0.0%,44.8%,52.8%,60.6%
2019 Dubai R32,L vs Bencic,0.92,0.42,33.2,2.0,9.1%,31.8%,0.0%,47.6%,28.6%,26.3%
2021 (4 matches),,1.01,0.80,66.7,2.7,3.1%,51.2%,2.7%,43.9%,47.0%,36.2%
2020 (2 matches),,0.95,0.71,50.0,2.2,0.0%,51.5%,3.1%,45.3%,35.6%,41.4%
2019 (17 matches),,1.02,1.00,55.9,2.5,4.0%,56.1%,1.8%,52.3%,45.2%,43.8%
2018 (30 matches),,0.99,0.89,55.5,2.9,4.6%,57.3%,3.7%,54.3%,42.5%,37.4%
2017 (17 matches),,1.03,0.99,55.7,2.4,5.9%,57.0%,3.3%,56.4%,41.9%,41.3%
Career (212 matches),,1.01,0.97,59.6,2.8,4.4%,58.0%,2.3%,53.1%,43.4%,42.1%
