Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,14,Hard,34,20,14,58.8%,6,3,3,50.0%,2008,2022,R64,24,0.98,4.7%,2.8%,57.9%,65.0%,44.0%,56.1%,43.1%,51.3%,39.2%
Roland Garros,15,Clay,27,12,15,44.4%,6,1,5,16.7%,2008,2025,R32,21,0.99,4.2%,3.3%,58.3%,63.2%,44.1%,55.2%,44.5%,52.3%,40.5%
Wimbledon,14,Grass,15,1,14,6.7%,6,2,4,33.3%,2008,2025,R128,11,0.82,2.9%,2.4%,59.0%,62.1%,42.6%,54.1%,37.9%,53.3%,34.1%
US Open,15,Hard,27,11,16,40.7%,8,4,4,50.0%,2008,2022,R64,21,0.94,4.1%,4.5%,52.9%,64.1%,44.3%,54.8%,42.3%,47.0%,46.7%
Fed Cup,6,,15,5,10,33.3%,5,1,4,20.0%,2005,2013,,0,,,,,,,,,,
Portoroz,3,Hard,9,6,3,66.7%,1,0,1,0.0%,2009,2022,SF,9,1.04,4.5%,5.4%,51.2%,66.4%,45.7%,56.3%,45.3%,52.2%,43.2%
Berlin,2,Grass,4,2,2,50.0%,1,0,1,0.0%,2021,2022,Q2,4,1.15,4.6%,2.5%,61.5%,72.4%,43.1%,61.1%,44.5%,57.7%,41.7%
Stuttgart,4,Clay,7,3,4,42.9%,0,0,0,-,2007,2022,R32,5,1.16,4.0%,2.6%,57.0%,60.0%,53.0%,57.0%,49.8%,51.9%,53.8%
Bogota,3,Clay,5,2,3,40.0%,0,0,0,-,2012,2022,QF,5,0.90,1.2%,6.1%,49.5%,55.2%,47.6%,51.4%,43.5%,58.3%,38.3%
Miami,10,Hard,21,10,11,47.6%,4,2,2,50.0%,2009,2022,R64,17,0.98,5.0%,2.7%,58.1%,63.0%,43.7%,54.9%,44.2%,51.6%,53.3%
Lyon,2,Hard,6,4,2,66.7%,2,1,1,50.0%,2021,2022,R16,6,1.04,2.6%,4.7%,52.6%,65.7%,44.8%,55.8%,45.9%,50.0%,46.4%
