Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,8,Hard,18,10,8,55.6%,1,1,0,100.0%,2005,2012,R32,8,0.82,0.8%,6.3%,61.1%,52.3%,38.7%,47.0%,43.5%,50.5%,46.7%
Roland Garros,9,Clay,18,9,9,50.0%,3,0,3,0.0%,2004,2012,R64,7,0.84,0.6%,6.2%,63.3%,49.5%,32.8%,43.4%,47.6%,41.0%,47.8%
Wimbledon,9,Grass,17,8,9,47.1%,2,1,1,50.0%,2004,2012,R64,7,0.96,2.7%,5.0%,62.2%,66.5%,42.9%,57.5%,40.9%,48.2%,42.9%
US Open,8,Hard,12,4,8,33.3%,1,0,1,0.0%,2005,2012,R64,2,0.73,0.8%,6.8%,69.5%,51.2%,41.7%,48.3%,37.8%,23.1%,38.5%
Fed Cup,5,,15,4,11,26.7%,1,0,1,0.0%,2004,2012,,0,,,,,,,,,,
Miami,7,Hard,19,12,7,63.2%,4,3,1,75.0%,2005,2012,R32,13,0.99,1.2%,5.8%,62.0%,59.7%,41.3%,52.7%,46.7%,50.9%,42.6%
Indian Wells,7,Hard,15,8,7,53.3%,0,0,0,-,2005,2012,R64,8,0.95,0.2%,8.1%,62.2%,57.2%,42.7%,51.7%,45.7%,50.0%,49.3%
Sydney,7,Hard,15,7,8,46.7%,2,0,2,0.0%,2005,2012,R32,4,1.20,0.9%,6.2%,55.8%,61.1%,53.0%,57.5%,51.0%,43.5%,51.4%
Tashkent,5,Hard,7,2,5,28.6%,3,1,2,33.3%,2004,2008,R16,0,,,,,,,,,,
Estoril,4,Clay,10,6,4,60.0%,1,1,0,100.0%,2007,2012,R16,7,1.06,1.1%,6.1%,65.3%,58.1%,38.2%,51.2%,51.7%,49.3%,51.9%
Bogota,4,Clay,5,1,4,20.0%,0,0,0,-,2006,2010,R16,2,0.71,0.0%,10.1%,55.6%,50.9%,27.3%,40.4%,42.1%,36.8%,28.6%
