Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Dubai R16,L vs Griekspoor,35.9%,50.0%,51.3%,41.6%,50.0%,64.3%,47.6%,58.6%,50.0%,50.0%,100.0%,10.0%,25.0%,55.6%,-18
2026 Rotterdam SF,L vs Auger Aliassime,31.8%,36.4%,24.1%,35.5%,33.3%,40.0%,30.0%,38.7%,14.3%,25.0%,0.0%,30.8%,30.8%,11.1%,29
2026 Rotterdam QF,W vs Munar,22.1%,38.9%,69.1%,33.6%,32.8%,55.7%,73.2%,54.1%,40.7%,55.9%,75.0%,11.1%,22.2%,65.0%,-12
2026 Rotterdam R32,W vs Hurkacz,27.7%,46.2%,59.8%,38.3%,40.5%,64.9%,68.2%,57.6%,46.4%,41.3%,0.0%,7.3%,17.1%,50.0%,-45
2026 Australian Open R32,L vs De Minaur,19.8%,34.6%,39.3%,28.1%,25.0%,44.2%,38.5%,38.1%,23.1%,42.3%,40.0%,12.0%,20.0%,40.9%,-4
2026 Australian Open R128,W vs Brooksby,30.9%,45.7%,55.0%,38.9%,38.2%,50.0%,57.1%,49.4%,39.3%,42.5%,66.7%,14.3%,42.9%,50.0%,14
2026 Hong Kong F,W vs Musetti,28.4%,47.8%,63.6%,40.0%,35.3%,58.8%,66.7%,50.6%,40.9%,34.5%,50.0%,8.3%,16.7%,54.5%,-49
2025 Paris SF,L vs Auger Aliassime,31.9%,44.9%,46.7%,35.7%,40.0%,50.0%,45.8%,46.5%,37.5%,20.8%,0.0%,22.2%,40.7%,47.6%,25
2025 Vienna QF,L vs Sinner,31.9%,47.8%,46.5%,40.6%,37.2%,51.2%,51.9%,51.2%,42.9%,50.0%,100.0%,27.3%,50.0%,37.5%,136
2025 Vienna R16,W vs Cerundolo,42.4%,57.6%,52.9%,50.0%,48.0%,68.0%,61.5%,58.0%,45.8%,34.6%,60.0%,33.3%,33.3%,25.0%,157
2025 Hangzhou F,W vs Royer,40.0%,51.8%,58.3%,45.5%,51.9%,65.4%,60.0%,61.0%,60.9%,48.3%,-,23.3%,33.3%,56.5%,59
2025 Hangzhou SF,W vs Wu,55.6%,62.2%,70.6%,59.1%,67.6%,73.5%,72.7%,72.4%,52.9%,41.2%,-,25.0%,37.5%,66.7%,82
2025 US Open R16,L vs Sinner,21.5%,25.3%,34.7%,24.9%,31.3%,37.5%,39.4%,36.9%,44.0%,13.0%,25.0%,11.1%,11.1%,25.0%,-47
2025 Kitzbuhel F,W vs Cazaux,24.6%,39.3%,69.2%,32.6%,32.3%,48.4%,76.2%,48.1%,80.0%,25.0%,0.0%,21.7%,39.1%,61.1%,65
2025 Kitzbuhel SF,W vs Van De Zandschulp,47.4%,52.6%,58.3%,49.1%,56.8%,62.2%,56.3%,59.5%,57.9%,27.8%,0.0%,42.9%,50.0%,62.5%,212
2025 Gstaad F,W vs Cerundolo,29.0%,50.5%,54.8%,40.6%,42.6%,72.1%,68.6%,60.3%,63.0%,11.8%,0.0%,3.6%,10.7%,37.0%,-84
2025 Gstaad SF,W vs Cazaux,41.5%,60.4%,64.3%,53.4%,46.2%,69.2%,71.4%,62.3%,42.9%,40.0%,-,36.4%,45.5%,42.9%,196
2025 Gstaad QF,W vs Comesana,37.1%,62.9%,58.8%,43.5%,48.6%,70.3%,52.6%,59.5%,68.8%,38.1%,0.0%,25.0%,65.0%,66.7%,102
2025 Gstaad R16,W vs Shevchenko,32.7%,53.8%,60.0%,38.5%,40.0%,60.0%,66.7%,50.0%,75.0%,61.1%,0.0%,29.4%,58.8%,50.0%,132
2025 Halle F,W vs Medvedev,40.6%,56.5%,66.7%,47.5%,54.2%,66.7%,54.5%,64.2%,45.5%,50.0%,0.0%,12.5%,43.8%,85.7%,-13
Career (108 matches),,35.2%,46.9%,50.5%,41.3%,47.0%,60.5%,54.3%,57.2%,43.1%,43.4%,44.4%,21.6%,33.0%,45.7%,71
