Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,248,127,121,51.2%,299-307,49.3%,3018-3071,49.6%,54-63,46.2%,240,81.3%,17.6%,15.3%,8.0%,59.5%,77.4%,44.8%,64.2%,34.5%,49.6%,0.96
Clay,73,37,36,50.7%,99-94,51.3%,922-962,48.9%,17-11,60.7%,69,77.8%,19.5%,11.7%,7.7%,59.1%,74.4%,45.7%,62.7%,35.5%,49.3%,0.95
Grass,58,38,20,65.5%,93-61,60.4%,814-725,52.9%,18-14,56.3%,58,85.9%,19.3%,19.3%,8.1%,59.6%,80.2%,48.6%,67.5%,35.6%,51.5%,1.10
Grand Slams,59,30,29,50.8%,109-105,50.9%,1036-1055,49.5%,16-15,51.6%,59,79.3%,19.6%,15.5%,8.1%,58.4%,77.5%,43.6%,63.4%,35.7%,49.6%,0.97
Masters,74,32,42,43.2%,79-96,45.1%,836-924,47.5%,18-14,56.3%,74,78.9%,15.6%,12.9%,7.8%,59.2%,75.2%,45.0%,62.9%,33.8%,48.6%,0.91
Other Tours,225,128,97,56.9%,274-240,53.3%,2619-2551,50.7%,50-53,48.5%,224,82.5%,18.6%,15.9%,8.0%,59.9%,77.7%,46.3%,65.1%,34.9%,50.2%,1.00
Best of 5,59,30,29,50.8%,109-105,50.9%,1036-1055,49.5%,16-15,51.6%,59,79.3%,19.6%,15.5%,8.1%,58.4%,77.5%,43.6%,63.4%,35.7%,49.6%,0.97
Best of 3,320,172,148,53.8%,382-357,51.7%,3718-3703,50.1%,73-73,50.0%,308,82.0%,17.9%,15.2%,7.9%,59.7%,77.2%,46.2%,64.7%,34.7%,49.9%,0.98
Finals,16,9,7,56.3%,21-15,58.3%,188-177,51.5%,5-4,55.6%,16,85.6%,15.8%,15.9%,8.1%,63.3%,77.7%,47.2%,66.5%,33.1%,50.4%,0.99
Semi-finals,24,16,8,66.7%,31-23,57.4%,289-265,52.2%,4-6,40.0%,24,85.5%,18.8%,17.3%,7.2%,62.0%,78.5%,48.6%,67.1%,33.9%,50.8%,1.03
Quarter-finals,39,24,15,61.5%,50-42,54.3%,466-455,50.6%,9-7,56.3%,39,82.3%,19.1%,15.9%,7.5%,60.5%,77.6%,43.8%,64.3%,35.7%,50.3%,1.00
vs Righties,345,177,168,51.3%,434-433,50.1%,4289-4359,49.6%,81-82,49.7%,334,80.8%,18.1%,15.3%,8.1%,59.4%,76.9%,45.4%,64.1%,34.8%,49.6%,0.97
vs Lefties,34,25,9,73.5%,57-29,66.3%,465-399,53.8%,8-6,57.1%,33,86.9%,19.6%,14.8%,7.0%,59.5%,80.5%,47.9%,67.3%,36.0%,51.6%,1.10
vs Top 10,46,16,30,34.8%,41-77,34.7%,514-647,44.3%,7-11,38.9%,44,75.5%,13.3%,12.6%,7.6%,60.7%,74.3%,40.5%,61.0%,30.7%,46.6%,0.79
