Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2024 Szekesfehervar CH QF,L vs Tseng,59% (10/17),44% (4/9),1/5,0/0,62% (8/13),5/7,4/5,- (0/0),- (0/0)
2019 M25 Pozoblanco R32,L vs Petit,50% (10/20),50% (3/6),1/3,0/2,40% (2/5),0/2,0/1,25% (1/4),0% (0/4)
2019 Segovia CH R32,L vs Kotov,73% (11/15),100% (3/3),1/1,0/0,56% (5/9),1/3,0/1,- (0/0),- (0/0)
2019 M25 Kassel R32,L vs Vocel,50% (5/10),100% (4/4),1/1,0/0,17% (1/6),0/2,0/1,- (0/0),- (0/0)
2019 M25 Bourg en Bresse R32,L vs Faivre,55% (11/20),56% (5/9),1/1,0/0,54% (7/13),1/4,0/1,20% (1/5),40% (2/5)
2019 M25 Bacau R16,L vs Jecan,57% (8/14),50% (1/2),0/0,0/0,25% (1/4),0/2,0/1,- (0/0),- (0/0)
2019 M25 Bacau R32,W vs Berdila,71% (5/7),58% (7/12),2/3,1/2,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2019 Aix En Provence CH R32,L vs Molleker,72% (13/18),13% (1/8),1/1,0/0,33% (2/6),1/3,1/2,80% (4/5),60% (3/5)
2019 Aix En Provence CH R64,W vs Huesler,67% (10/15),67% (2/3),2/3,1/2,67% (2/3),2/2,0/0,86% (6/7),29% (2/7)
2019 Bordeaux CH R32,L vs Halys,64% (7/11),- (0/0),0/0,0/0,67% (4/6),4/6,1/2,- (0/0),- (0/0)
2019 Bordeaux CH R64,W vs De Schepper,63% (10/16),100% (2/2),2/2,1/1,100% (5/5),0/0,0/0,- (0/0),- (0/0)
2019 M25 Angers R32,L vs Weis,57% (12/21),33% (2/6),1/1,0/0,77% (10/13),2/4,1/2,- (0/0),- (0/0)
2019 M25 Santa Margherita Di Pula QF,L vs Lokoli,0% (0/4),100% (2/2),0/0,0/0,46% (6/13),0/2,0/1,- (0/0),- (0/0)
2019 M25 Santa Margherita Di Pula R16,W vs Jecan,67% (8/12),33% (4/12),2/4,1/2,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2019 M25 Santa Margherita Di Pula R32,W vs Gomez Gb42,62% (8/13),43% (6/14),2/5,1/4,67% (6/9),0/1,0/0,- (0/0),- (0/0)
2019 St. Brieuc CH R64,L vs Mahut,75% (6/8),67% (2/3),0/0,0/0,60% (6/10),3/5,0/1,- (0/0),- (0/0)
2019 M15 Poitiers F,L vs Robert,78% (7/9),33% (1/3),0/0,0/0,50% (3/6),0/2,0/1,- (0/0),- (0/0)
2019 M15 Poitiers SF,W vs Lechevretel,55% (11/20),36% (4/11),2/5,1/3,85% (11/13),3/4,0/0,- (0/0),- (0/0)
2019 M15 Poitiers R32,W vs Added,71% (15/21),17% (1/6),2/2,1/1,80% (8/10),0/1,0/0,89% (8/9),60% (6/10)
2019 M15 Toulouse R32,L vs Pietri,62% (8/13),11% (1/9),0/4,0/0,82% (9/11),2/4,1/2,67% (4/6),17% (1/6)
2024 (1 matches),,58.8%,44.4%,20.0%,-,61.5%,71.4%,80.0%,-,-
2019 (29 matches),,63.6%,44.4%,58.9%,48.1%,60.9%,45.6%,42.9%,66.7%,35.9%
2016 (1 matches),,63.2%,60.0%,66.7%,50.0%,75.0%,0.0%,-,-,-
Career (31 matches),,63.4%,45.2%,56.3%,48.3%,62.0%,47.4%,48.5%,66.7%,35.9%
