Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),330,151,347,1425,312,1402,332,1359,230,1395,,,,
2025,321,161,356,1412,318,1398,345,1347,229,1388,,,,
2024,210,270,264,1488,228,1478,326,1365,201,1445,242,283,,
2023,266,220,284,1455,280,1412,275,1398,,,,,,
2022,414,107,380,1330,341,1336,377,1259,237,1345,,,,
2021,334,146,354,1316,344,1267,332,1303,,,,,,
2020,435,87,,,,,,,,,371,128,,
2019,476,65,439,1276,449,1197,370,1302,,,409,99,,
2018,504,11,,,,,,,,,664,10,,
2017,1203,5,,,,,,,,,1023,27,,
2016,1196,6,,,,,,,,,1615,6,,
