Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,2,Hard,5,3,2,60.0%,3,1,2,33.3%,1990,1992,R16,1,0.84,2.5%,5.6%,52.2%,61.9%,48.1%,55.3%,37.7%,52.9%,53.8%
Roland Garros,12,Clay,43,32,11,74.4%,20,12,8,60.0%,1980,1992,W,2,1.12,9.1%,4.4%,59.9%,78.0%,41.8%,63.5%,40.9%,40.0%,50.0%
Wimbledon,7,Grass,15,8,7,53.3%,14,9,5,64.3%,1980,1990,QF,0,,,,,,,,,,
US Open,11,Hard,30,19,11,63.3%,15,9,6,60.0%,1979,1991,QF,1,1.07,5.6%,5.6%,59.9%,72.9%,50.9%,64.1%,38.3%,69.2%,22.2%
Davis Cup,13,,42,30,12,71.4%,1,1,0,100.0%,1978,1995,,0,,,,,,,,,,
Barcelona,10,Clay,33,25,8,75.8%,11,9,2,81.8%,1980,1992,W,3,0.94,6.2%,4.2%,56.0%,72.4%,49.1%,62.2%,35.6%,65.4%,27.3%
Rome,10,Clay,28,20,8,71.4%,4,2,2,50.0%,1980,1989,W,0,,,,,,,,,,
Indianapolis,9,Clay,32,25,7,78.1%,8,7,1,87.5%,1979,1987,W,0,,,,,,,,,,
Washington,8,Hard,27,20,7,74.1%,11,9,2,81.8%,1980,1988,W,0,,,,,,,,,,
Boston,7,Clay,27,22,5,81.5%,12,8,4,66.7%,1980,1989,W,0,,,,,,,,,,
Tokyo Indoor,7,Carpet,18,11,7,61.1%,4,2,2,50.0%,1983,1990,SF,0,,,,,,,,,,
