Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,204,132,72,64.7%,285-192,59.7%,2347-2029,53.6%,52-28,65.0%,25,75.8%,22.4%,8.1%,3.6%,57.5%,70.1%,50.2%,61.7%,38.0%,49.9%,0.99
Clay,470,330,140,70.2%,696-375,65.0%,5493-4363,55.7%,95-51,65.1%,37,72.4%,26.4%,6.1%,4.5%,55.0%,71.0%,45.0%,59.3%,39.4%,49.8%,0.97
Grass,18,10,8,55.6%,24-23,51.1%,228-225,50.3%,9-6,60.0%,0,,,,,,,,,,,
Carpet,113,60,53,53.1%,119-118,50.2%,1118-1101,50.4%,27-20,57.4%,7,83.5%,27.5%,8.5%,5.0%,58.0%,77.1%,51.8%,66.5%,39.0%,52.2%,1.16
Grand Slams,93,62,31,66.7%,179-122,59.5%,1480-1302,53.2%,31-21,59.6%,4,75.3%,25.9%,6.4%,5.0%,57.7%,72.7%,45.9%,61.4%,39.3%,50.6%,1.02
Masters,93,55,38,59.1%,111-93,54.4%,971-897,52.0%,26-11,70.3%,12,68.8%,20.9%,7.3%,4.2%,57.5%,68.8%,43.6%,58.1%,36.6%,48.2%,0.87
Other Tours,574,385,189,67.1%,736-440,62.6%,5904-4861,54.8%,125-73,63.1%,53,76.1%,26.0%,7.0%,4.1%,55.6%,71.7%,48.4%,61.3%,39.3%,50.4%,1.02
Best of 5,155,103,52,66.5%,303-201,60.1%,2537-2193,53.6%,47-29,61.8%,4,75.3%,25.9%,6.4%,5.0%,57.7%,72.7%,45.9%,61.4%,39.3%,50.6%,1.02
Best of 3,650,429,221,66.0%,821-507,61.8%,6649-5525,54.6%,136-76,64.2%,65,74.7%,25.0%,7.1%,4.1%,56.0%,71.1%,47.5%,60.7%,38.8%,50.0%,0.99
Finals,35,21,14,60.0%,47-35,57.3%,378-345,52.3%,8-5,61.5%,1,92.9%,14.3%,7.1%,3.6%,60.7%,80.4%,51.5%,69.0%,35.9%,51.7%,1.16
Semi-finals,68,35,33,51.5%,74-68,52.1%,663-636,51.0%,10-9,52.6%,3,58.6%,21.4%,9.3%,4.4%,53.8%,69.4%,39.3%,55.5%,36.8%,46.0%,0.83
Quarter-finals,119,68,51,57.1%,133-112,54.3%,1160-1094,51.5%,25-22,53.2%,6,75.0%,24.3%,5.1%,3.7%,60.5%,72.0%,45.6%,61.6%,36.5%,49.6%,0.95
vs Righties,694,462,232,66.6%,973-611,61.4%,7942-6666,54.4%,162-91,64.0%,59,74.7%,26.2%,6.9%,4.2%,55.9%,71.5%,47.1%,60.7%,39.4%,50.2%,1.00
vs Lefties,102,61,41,59.8%,127-94,57.5%,1084-973,52.7%,20-14,58.8%,10,75.2%,18.6%,7.6%,4.3%,57.8%,69.9%,48.8%,61.0%,35.3%,49.0%,0.91
vs Top 10,89,17,72,19.1%,42-145,22.5%,679-1025,39.8%,16-22,42.1%,3,79.5%,15.4%,5.4%,3.6%,56.2%,69.7%,47.9%,60.1%,30.6%,46.7%,0.77
