Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),235,233,178,1598,171,1559,,,108,1566,,,,
2025,159,380,150,1627,138,1591,,,99,1581,,,,
2024,374,130,127,1665,113,1633,135,1585,,,464,110,,
2023,99,646,78,1732,66,1706,100,1633,61,1632,,,,
2022,145,381,98,1698,91,1656,111,1621,,,,,,
2021,266,223,168,1584,152,1552,242,1448,148,1510,,,,
2020,251,219,151,1584,119,1576,240,1385,,,562,69,,
2019,263,169,221,1527,196,1504,307,1374,176,1458,539,69,,
2018,194,263,149,1612,132,1592,,,168,1473,375,78,,
2017,356,124,263,1460,246,1435,,,,,1002,28,,
2016,594,52,,,,,,,,,931,35,,
2015,1784,1,,,,,,,,,1165,21,,
