Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,165,64,101,38.8%,166-238,41.1%,1810-2048,46.9%,27-31,46.6%,158,69.6%,23.3%,4.4%,3.9%,56.7%,66.2%,48.7%,58.6%,37.7%,48.3%,0.91
Clay,70,30,40,42.9%,95-105,47.5%,943-937,50.2%,11-21,34.4%,51,70.9%,23.7%,3.0%,2.3%,62.5%,64.7%,49.9%,59.1%,38.1%,48.6%,0.93
Grass,41,16,25,39.0%,51-70,42.1%,561-635,46.9%,11-11,50.0%,41,76.8%,17.1%,4.4%,2.9%,63.2%,69.7%,49.9%,62.4%,34.4%,48.5%,0.91
Carpet,6,3,3,50.0%,8-8,50.0%,80-81,49.7%,2-3,40.0%,5,87.7%,18.8%,7.9%,1.6%,63.7%,75.2%,60.9%,70.0%,35.3%,51.7%,1.18
Grand Slams,55,21,34,38.2%,82-118,41.0%,945-1043,47.5%,16-23,41.0%,55,73.4%,22.1%,3.5%,2.7%,62.3%,66.4%,49.8%,60.1%,37.3%,48.7%,0.93
Masters,46,15,31,32.6%,41-67,38.0%,469-561,45.5%,9-9,50.0%,46,71.6%,19.9%,4.5%,3.2%,57.5%,67.4%,49.4%,59.7%,35.7%,48.0%,0.89
Other Tours,154,60,94,39.0%,141-202,41.1%,1512-1741,46.5%,23-26,46.9%,154,70.6%,22.9%,4.5%,3.8%,57.9%,66.7%,49.1%,59.3%,37.5%,48.4%,0.92
Best of 5,78,35,43,44.9%,131-150,46.6%,1360-1363,49.9%,17-30,36.2%,55,73.4%,22.1%,3.5%,2.7%,62.3%,66.4%,49.8%,60.1%,37.3%,48.7%,0.93
Best of 3,204,78,126,38.2%,189-271,41.1%,2034-2338,46.5%,34-36,48.6%,200,70.8%,22.2%,4.5%,3.7%,57.8%,66.9%,49.1%,59.4%,37.1%,48.3%,0.91
Finals,2,0,2,0.0%,0-4,0.0%,21-27,43.8%,0-3,0.0%,2,86.4%,8.7%,8.7%,1.4%,63.0%,78.2%,49.0%,67.4%,23.7%,45.5%,0.73
Semi-finals,3,2,1,66.7%,5-4,55.6%,50-48,51.0%,1-2,33.3%,3,87.5%,14.9%,7.1%,3.4%,56.3%,73.6%,57.4%,66.6%,32.2%,50.2%,0.96
Quarter-finals,11,3,8,27.3%,9-18,33.3%,114-150,43.2%,2-2,50.0%,11,68.5%,18.8%,4.4%,4.2%,58.8%,66.9%,47.2%,58.8%,35.7%,46.7%,0.87
vs Righties,248,97,151,39.1%,277-376,42.4%,2992-3292,47.6%,45-60,42.9%,227,71.8%,21.8%,4.1%,3.3%,59.1%,66.9%,49.3%,59.7%,36.9%,48.4%,0.92
vs Lefties,32,14,18,43.8%,39-45,46.4%,377-400,48.5%,5-6,45.5%,28,70.1%,25.1%,5.1%,4.1%,60.2%,64.9%,49.3%,58.7%,39.2%,49.0%,0.95
vs Top 10,30,4,26,13.3%,21-66,24.1%,346-508,40.5%,7-12,36.8%,29,66.1%,15.1%,3.5%,2.1%,61.9%,65.1%,45.0%,57.4%,31.8%,45.0%,0.75
