Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2015 Pereira CH R16,L vs Arevalo,11,26,0.4,9.2%,21.8%,10,22,0.5,9.9%,21.8%,7.9%,2.0%,1.6,17.6%,10.9%
2015 Wimbledon R128,L vs Haase,27,34,0.8,12.3%,15.5%,25,28,0.9,12.7%,14.2%,9.6%,3.0%,1.4,13.6%,9.5%
2015 Roland Garros R128,L vs Federer,30,26,1.2,15.8%,13.7%,28,22,1.3,15.9%,12.5%,11.4%,4.5%,1.7,22.6%,13.7%
2015 Australian Open R128,L vs Berdych,20,26,0.8,11.0%,14.3%,13,23,0.6,8.1%,14.3%,6.2%,1.9%,1.2,17.6%,14.8%
2014 Wimbledon R128,L vs Pavic,24,28,0.9,12.5%,14.6%,19,22,0.9,12.1%,14.0%,6.4%,5.7%,1.3,25.5%,19.3%
2014 Halle F,L vs Federer,20,20,1.0,13.2%,13.2%,15,20,0.8,10.8%,14.4%,5.0%,5.8%,1.3,18.5%,13.9%
2014 Halle R16,W vs Haase,18,21,0.9,13.5%,15.8%,17,19,0.9,13.4%,15.0%,7.9%,5.5%,1.0,17.3%,18.0%
2014 Roland Garros R128,L vs Paire,19,24,0.8,9.9%,12.5%,19,23,0.8,10.7%,12.9%,6.2%,3.9%,1.2,26.0%,22.4%
2014 Australian Open R64,L vs Wawrinka,26,37,0.7,10.0%,14.3%,25,34,0.7,10.3%,14.0%,,,1.3,23.6%,17.8%
2013 Bogota F,L vs Karlovic,15,15,1.0,12.1%,12.1%,8,12,0.7,8.2%,12.2%,4.1%,4.1%,1.1,20.2%,18.5%
2013 Australian Open R64,L vs Gasquet,25,36,0.7,16.3%,23.5%,18,35,0.5,13.7%,26.7%,,,3.2,26.8%,8.5%
2012 London Olympics R64,L vs Federer,17,28,0.6,9.4%,15.6%,14,28,0.5,8.3%,16.7%,5.4%,3.0%,1.1,23.3%,20.6%
2012 Wimbledon R32,L vs Istomin,21,28,0.8,8.3%,11.0%,20,25,0.8,8.7%,10.9%,,,1.7,17.3%,10.2%
2012 Wimbledon R128,W vs Isner,39,22,1.8,11.9%,6.7%,35,18,1.9,12.3%,6.3%,,,1.6,23.2%,15.0%
2012 Australian Open R32,L vs Kohlschreiber,22,37,0.6,11.5%,19.4%,21,36,0.6,11.4%,19.5%,,,0.9,16.2%,17.3%
2012 Australian Open R64,W vs Fish,30,34,0.9,13.8%,15.6%,25,33,0.8,12.1%,15.9%,,,0.6,16.1%,26.6%
2011 US Open R64,L vs Haas,31,46,0.7,15.0%,22.2%,23,43,0.5,12.4%,23.2%,4.3%,7.6%,0.8,15.5%,19.3%
2011 US Open R128,W vs Troicki,40,47,0.9,12.1%,14.2%,37,44,0.8,12.1%,14.4%,5.2%,6.9%,0.7,13.3%,19.4%
2011 Roland Garros R16,L vs Chela,65,61,1.1,20.8%,19.5%,58,60,1.0,19.4%,20.1%,9.0%,10.4%,0.6,12.1%,18.8%
2011 Roland Garros R32,W vs Kubot,32,51,0.6,10.9%,17.4%,27,50,0.5,9.9%,18.4%,4.4%,5.5%,0.6,18.8%,30.4%
Career (23 matches),,632,765,0.8,12.8%,15.5%,543,709,0.8,12.1%,15.8%,4.9%,3.9%,1.1,19.2%,17.8%
