Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,3,Grass,11,9,2,81.8%,4,4,0,100.0%,1977,1983,W,0,,,,,,,,,,
Roland Garros,3,Clay,8,5,3,62.5%,2,1,1,50.0%,1974,1978,R16,0,,,,,,,,,,
Wimbledon,11,Grass,47,36,11,76.6%,14,9,5,64.3%,1972,1983,F,0,,,,,,,,,,
US Open,16,Hard,56,40,16,71.4%,52,30,22,57.7%,1969,1984,SF,0,,,,,,,,,,
Davis Cup,4,,13,9,4,69.2%,0,0,0,-,1975,1981,,0,,,,,,,,,,
Los Angeles,13,Hard,41,28,13,68.3%,21,14,7,66.7%,1971,1983,F,0,,,,,,,,,,
Cincinnati,12,Hard,32,21,11,65.6%,11,5,6,45.5%,1970,1984,W,0,,,,,,,,,,
San Francisco,10,Carpet,28,19,9,67.9%,15,8,7,53.3%,1973,1983,W,0,,,,,,,,,,
Las Vegas,10,Hard,28,19,9,67.9%,13,10,3,76.9%,1973,1982,W,0,,,,,,,,,,
Memphis,8,Carpet,25,17,8,68.0%,5,2,3,40.0%,1977,1985,F,0,,,,,,,,,,
Queen's Club,7,Grass,23,16,7,69.6%,5,4,1,80.0%,1972,1983,SF,0,,,,,,,,,,
