Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,321,215,106,67.0%,420-231,64.5%,3358-2703,55.4%,86-56,60.6%,0,,,,,,,,,,,
Clay,157,98,59,62.4%,199-131,60.3%,1647-1351,54.9%,24-22,52.2%,0,,,,,,,,,,,
Grass,158,116,42,73.4%,274-117,70.1%,2138-1652,56.4%,37-27,57.8%,0,,,,,,,,,,,
Carpet,249,161,88,64.7%,317-194,62.0%,2629-2167,54.8%,53-53,50.0%,0,,,,,,,,,,,
Grand Slams,123,90,33,73.2%,240-111,68.4%,1868-1423,56.8%,44-28,61.1%,0,,,,,,,,,,,
Masters,57,31,26,54.4%,59-46,56.2%,503-429,54.0%,13-11,54.2%,0,,,,,,,,,,,
Other Tours,713,474,239,66.5%,906-515,63.8%,7355-5966,55.2%,145-120,54.7%,0,,,,,,,,,,,
Best of 5,142,96,46,67.6%,276-158,63.6%,2239-1854,54.7%,45-32,58.4%,0,,,,,,,,,,,
Best of 3,764,508,256,66.5%,959-532,64.3%,7743-6182,55.6%,157-127,55.3%,0,,,,,,,,,,,
Finals,43,17,26,39.5%,42-56,42.9%,426-474,47.3%,7-9,43.8%,0,,,,,,,,,,,
Semi-finals,78,43,35,55.1%,94-81,53.7%,866-802,51.9%,14-16,46.7%,0,,,,,,,,,,,
Quarter-finals,131,75,56,57.3%,163-119,57.8%,1416-1268,52.8%,30-31,49.2%,0,,,,,,,,,,,
vs Righties,793,532,261,67.1%,1082-595,64.5%,8743-6999,55.5%,184-140,56.8%,0,,,,,,,,,,,
vs Lefties,110,69,41,62.7%,147-95,60.7%,1203-1027,53.9%,18-19,48.6%,0,,,,,,,,,,,
vs Top 10,96,34,62,35.4%,88-133,39.8%,957-1091,46.7%,19-22,46.3%,0,,,,,,,,,,,
