Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),971,18,,,,,,,,,,,,
2025,369,131,147,1633,134,1593,107,1632,,,,,,
2024,287,179,96,1707,102,1652,71,1687,123,1540,465,110,,
2023,35,1193,49,1796,60,1728,32,1774,79,1595,,,,
2022,59,795,115,1668,104,1630,86,1660,146,1493,,,,
2021,18,2351,29,1873,30,1824,25,1800,84,1598,,,,
2020,112,637,66,1741,84,1644,50,1717,,,394,114,,
2019,289,140,322,1422,332,1359,240,1446,,,408,99,,
2018,485,13,,,,,,,,,,,,
2017,621,43,,,,,,,,,728,57,,
2016,235,221,239,1490,211,1467,200,1478,,,618,83,,
2015,195,254,251,1462,222,1449,237,1435,228,1392,248,274,,
2014,218,224,197,1545,178,1519,188,1497,173,1438,441,133,,
2013,292,154,311,1384,296,1356,,,,,402,153,,
2012,721,26,,,,,,,,,611,79,,
2011,1730,1,,,,,,,,,,,,
