Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2023 Tokyo F,L vs Shelton,20.6%,31.7%,47.8%,25.9%,25.0%,33.3%,48.1%,34.2%,40.0%,52.4%,0.0%,17.4%,34.8%,47.4%,45
2023 US Open R128,W vs Lehecka,33.8%,46.3%,51.9%,41.1%,53.8%,71.8%,77.8%,69.0%,50.0%,64.0%,75.0%,15.0%,22.5%,38.2%,-42
2023 Madrid SF,L vs Struff,27.3%,39.8%,56.7%,32.8%,34.0%,44.0%,57.6%,43.8%,29.2%,46.2%,60.0%,20.6%,38.2%,55.6%,80
2023 Madrid R16,W vs Medvedev,25.0%,48.4%,66.7%,35.3%,34.9%,62.8%,67.9%,50.2%,39.1%,65.0%,50.0%,4.8%,19.0%,65.0%,-79
2023 Rotterdam R32,L vs Dimitrov,10.5%,18.4%,46.9%,17.9%,16.7%,27.8%,53.3%,32.2%,30.0%,37.5%,100.0%,5.6%,11.1%,41.2%,-63
2023 Australian Open R128,L vs Dimitrov,40.4%,52.6%,38.6%,44.7%,56.1%,71.2%,44.8%,63.6%,57.7%,55.0%,42.9%,24.3%,35.1%,32.1%,88
2023 Pune SF,L vs Griekspoor,27.1%,42.4%,52.6%,32.2%,41.9%,61.3%,50.0%,51.6%,60.0%,33.3%,33.3%,13.0%,26.1%,55.0%,0
2022 Paris R64,L vs Nishioka,29.1%,58.2%,55.9%,38.5%,43.8%,68.8%,61.1%,60.0%,50.0%,50.0%,33.3%,11.1%,55.6%,50.0%,-22
2022 Basel R32,L vs Bublik,24.2%,33.9%,54.5%,29.4%,30.8%,41.0%,48.1%,39.0%,27.8%,38.1%,100.0%,15.0%,25.0%,64.7%,25
2022 Tel Aviv R32,L vs Etcheverry,22.1%,32.7%,52.6%,27.5%,30.2%,46.0%,50.0%,39.0%,43.8%,48.4%,25.0%,11.1%,13.9%,56.3%,-11
2022 Canada R64,L vs Cressy,27.1%,35.6%,40.0%,31.7%,30.6%,38.9%,36.0%,38.1%,61.1%,50.0%,50.0%,25.0%,35.0%,46.7%,118
2022 Hamburg R32,W vs Basilashvili,47.4%,65.8%,57.9%,53.9%,52.4%,76.2%,70.0%,64.3%,55.6%,58.3%,-,43.8%,56.3%,44.4%,10
2022 Roland Garros R128,L vs Ugo Carabelli,14.4%,24.7%,52.1%,22.9%,17.0%,30.9%,50.0%,30.3%,41.3%,75.0%,83.3%,11.4%,15.9%,56.4%,-12
2022 Rome R32,L vs Djokovic,19.0%,25.4%,42.6%,22.4%,33.3%,42.4%,54.5%,39.7%,46.2%,35.0%,33.3%,3.8%,7.7%,32.0%,-81
2022 Miami R32,L vs Hurkacz,22.3%,36.2%,60.0%,30.2%,27.8%,46.3%,59.0%,41.5%,53.8%,64.3%,0.0%,16.2%,24.3%,61.3%,34
2022 Rotterdam R32,L vs Griekspoor,25.3%,44.4%,52.9%,36.9%,31.3%,57.8%,56.8%,49.2%,41.9%,45.5%,20.0%,17.2%,24.1%,45.8%,39
2022 Australian Open R32,L vs Mannarino,24.6%,40.6%,52.6%,33.0%,30.8%,50.4%,61.7%,44.2%,36.5%,52.3%,42.9%,15.6%,26.6%,38.9%,39
2022 Australian Open R128,W vs Munar,18.2%,31.3%,50.3%,27.7%,24.5%,39.1%,54.2%,41.1%,48.1%,41.4%,0.0%,10.8%,23.0%,45.5%,-11
2022 Sydney F,W vs Murray,20.0%,34.5%,72.1%,29.8%,26.7%,46.7%,72.7%,44.7%,46.2%,47.1%,0.0%,12.5%,20.8%,71.4%,-19
2021 St Petersburg R16,L vs Millman,27.4%,41.9%,46.2%,35.8%,33.3%,52.4%,53.6%,45.7%,61.9%,61.9%,80.0%,21.4%,28.6%,27.3%,56
Career (42 matches),,25.3%,38.0%,52.7%,32.5%,33.4%,49.5%,56.2%,45.7%,45.3%,52.4%,46.5%,16.8%,26.2%,48.3%,45
