Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2026 Indian Wells R128,W vs Andreescu,69% (9/13),78% (7/9),0/1,33% (4/12),75% (3/4),6/6,1/1,0/0,0/0,0/0
2026 Dubai R64,L vs Jovic,45% (5/11),60% (3/5),1/5,50% (5/10),0% (0/5),2/3,1/1,1/1,0/0,0/0
2025 Wimbledon R64,W vs Paolini,33% (5/15),60% (3/5),0/1,20% (3/15),33% (1/3),2/3,2/2,1/2,1/1,0/0
2025 Indian Wells R128,L vs Dolehide,40% (4/10),75% (3/4),2/5,60% (6/10),17% (1/6),1/3,0/1,1/1,0/0,0/0
2024 US Open R128,L vs Swiatek,27% (3/11),67% (2/3),0/3,45% (5/11),40% (2/5),2/2,0/0,2/2,0/0,1/1
2024 Washington R16,L vs Sabalenka,50% (8/16),38% (3/8),0/4,38% (6/16),33% (2/6),0/2,0/0,1/1,0/0,1/1
2023 US Open R128,L vs Bencic,56% (5/9),40% (2/5),1/5,67% (6/9),17% (1/6),1/2,0/0,3/3,0/0,2/2
2023 Roland Garros R32,L vs Sabalenka,13% (1/8),0% (0/1),0/2,50% (4/8),0% (0/4),0/0,0/0,0/2,0/0,0/1
2023 Roland Garros R64,W vs Frech,44% (4/9),100% (4/4),1/2,20% (2/10),0% (0/2),2/4,2/2,0/0,1/1,0/0
2023 Roland Garros R128,W vs Bejlek,86% (6/7),100% (6/6),2/2,38% (3/8),33% (1/3),4/5,1/1,0/0,1/1,0/0
2023 Bogota SF,L vs Stearns,46% (6/13),83% (5/6),2/7,67% (8/12),13% (1/8),2/4,0/0,1/1,0/0,0/0
2022 US Open R128,L vs Garcia,0% (0/9),- (0/0),0/3,44% (4/9),25% (1/4),0/0,0/0,2/2,0/0,1/1
2021 Linz R32,L vs Cristian,43% (6/14),67% (4/6),1/3,43% (6/14),17% (1/6),3/4,1/1,1/3,0/0,1/2
2021 US Open R32,L vs Krejcikova,22% (2/9),0% (0/2),0/3,33% (3/9),0% (0/3),0/0,0/0,1/1,0/0,1/1
2021 US Open R64,W vs Alexandrova,50% (4/8),100% (4/4),0/1,22% (2/9),50% (1/2),3/3,1/1,0/0,1/1,0/0
2021 US Open R128,W vs Mladenovic,42% (5/12),100% (5/5),0/4,46% (6/13),33% (2/6),2/4,1/1,0/0,1/1,0/0
2021 Lausanne R32,W vs Rus,39% (7/18),100% (7/7),3/6,56% (10/18),30% (3/10),3/6,0/2,1/1,0/1,0/0
2020 Roland Garros R64,L vs Sakkari,40% (4/10),50% (2/4),1/3,40% (4/10),0% (0/4),1/2,0/0,1/2,0/0,0/1
2020 Roland Garros R128,W vs Rogers,63% (5/8),80% (4/5),1/1,11% (1/9),0% (0/1),3/3,1/1,0/0,1/1,0/0
2019 Jurmala R32,L vs Marcinkevica,33% (3/9),67% (2/3),2/4,50% (5/10),0% (0/5),1/2,0/0,1/2,0/0,0/1
2026 (2 matches),,58.3%,71.4%,16.7%,40.9%,33.3%,88.9%,100.0%,100.0%,-,-
2025 (2 matches),,36.0%,66.7%,33.3%,36.0%,22.2%,50.0%,66.7%,66.7%,100.0%,-
2024 (2 matches),,40.7%,45.5%,0.0%,40.7%,36.4%,50.0%,-,100.0%,-,100.0%
2023 (5 matches),,47.8%,77.3%,33.3%,48.9%,13.0%,60.0%,100.0%,66.7%,100.0%,66.7%
2022 (1 matches),,0.0%,-,0.0%,44.4%,25.0%,-,-,100.0%,-,100.0%
Career (37 matches),,44.8%,78.5%,29.5%,44.3%,22.5%,66.7%,75.9%,69.0%,78.6%,63.2%
