Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Indian Wells R128,W vs Andreescu,0.0%,-,6.4%,81.8%,21.0%,31.3%,0.0%,11.0%,29.2%,1.7%,60.0%,56,36
2026 Dubai R64,L vs Jovic,0.0%,-,5.6%,100.0%,14.3%,41.2%,0.0%,11.0%,20.0%,1.0%,50.0%,32,67
2025 Wimbledon R64,W vs Paolini,0.0%,-,4.6%,88.9%,19.3%,41.2%,0.0%,7.2%,35.7%,0.8%,0.0%,21,30
2025 Indian Wells R128,L vs Dolehide,3.1%,100.0%,9.9%,64.3%,11.6%,9.1%,0.0%,6.7%,20.0%,1.7%,25.0%,25,2
2024 US Open R128,L vs Swiatek,0.0%,-,3.5%,80.0%,4.9%,15.4%,0.0%,4.6%,25.0%,1.4%,33.3%,-101,-46
2024 Washington R16,L vs Sabalenka,0.0%,-,2.7%,66.7%,18.8%,25.0%,50.0%,9.5%,40.0%,0.9%,0.0%,27,41
2023 Roland Garros R32,L vs Sabalenka,0.0%,-,1.0%,100.0%,17.1%,44.4%,100.0%,10.0%,16.7%,1.6%,50.0%,-79,-7
2023 Roland Garros R64,W vs Frech,0.0%,-,6.7%,75.0%,9.5%,22.2%,100.0%,6.8%,25.0%,2.6%,33.3%,-40,-29
2023 Roland Garros R128,W vs Bejlek,0.0%,-,6.1%,60.0%,13.7%,18.8%,9.1%,5.7%,12.5%,1.3%,50.0%,-65,-38
2023 Bogota SF,L vs Stearns,0.0%,-,1.1%,50.0%,11.5%,26.7%,0.0%,5.2%,50.0%,0.7%,50.0%,-22,15
2021 Linz R32,L vs Cristian,0.0%,-,3.0%,40.0%,6.8%,9.1%,0.0%,9.2%,36.4%,0.8%,0.0%,-51,-44
2021 US Open R32,L vs Krejcikova,0.0%,-,2.9%,66.7%,4.5%,0.0%,0.0%,6.5%,20.0%,2.6%,50.0%,53,22
2021 Lausanne R32,W vs Rus,0.0%,-,4.3%,80.0%,12.5%,15.5%,0.0%,3.4%,9.1%,3.4%,35.3%,-40,-42
2020 Roland Garros R64,L vs Sakkari,0.0%,-,1.3%,100.0%,10.9%,20.0%,0.0%,6.5%,22.2%,2.1%,66.7%,8,-10
2019 Jurmala R32,L vs Marcinkevica,0.0%,-,4.2%,60.0%,13.3%,30.0%,0.0%,6.3%,42.9%,1.9%,33.3%,26,19
Last 52 Weeks (3 matches),,0.0%,-,5.5%,89.3%,18.7%,37.3%,0.0%,9.4%,27.6%,1.2%,40.0%,35,42
Career (15 matches),,0.2%,100.0%,4.1%,74.5%,12.7%,23.1%,10.4%,7.2%,26.5%,1.7%,37.5%,-10,0
