Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Indian Wells R128,W vs Andreescu,68.9%,62.9%,2.2%,1/1,2.56,7.9%,72.2%,56.4%,3.7%,2.55,10.3%,74.2%,73.9%,0.0%,2.58,4.2%
2026 Dubai R64,L vs Jovic,66.7%,50.0%,6.1%,3/1,2.41,2.0%,60.0%,50.0%,5.0%,2.37,3.7%,83.3%,50.0%,8.3%,2.46,0.0%
2025 Wimbledon R64,W vs Paolini,86.0%,43.8%,1.1%,0/1,2.53,14.7%,82.8%,39.6%,0.0%,2.53,21.6%,94.1%,50.0%,2.9%,2.51,0.0%
2025 Indian Wells R128,L vs Dolehide,63.2%,58.3%,6.6%,2/3,2.57,16.0%,64.9%,54.1%,3.5%,2.30,28.0%,73.3%,72.7%,20.0%,2.84,4.0%
2024 US Open R128,L vs Swiatek,70.1%,40.4%,3.0%,1/1,2.62,3.9%,71.1%,40.7%,0.0%,2.58,6.3%,71.4%,40.0%,7.1%,2.70,0.0%
2024 Washington R16,L vs Sabalenka,57.8%,44.4%,10.1%,3/8,2.93,11.5%,60.0%,42.4%,1.8%,2.70,22.5%,75.0%,46.7%,25.0%,3.16,0.0%
2023 Roland Garros R32,L vs Sabalenka,68.6%,40.0%,5.9%,1/2,2.31,3.7%,62.2%,30.4%,0.0%,2.44,5.6%,92.3%,58.3%,23.1%,2.04,0.0%
2023 Roland Garros R64,W vs Frech,79.4%,54.0%,3.2%,1/1,2.43,7.1%,78.4%,55.2%,0.0%,2.65,10.0%,91.3%,52.4%,8.7%,2.24,4.5%
2023 Roland Garros R128,W vs Bejlek,77.8%,71.4%,11.1%,2/2,2.47,0.0%,92.0%,69.6%,4.0%,2.30,0.0%,71.4%,80.0%,42.9%,2.84,0.0%
2023 Bogota SF,L vs Stearns,79.1%,54.4%,9.3%,6/2,2.72,3.0%,80.6%,52.0%,8.1%,2.74,5.9%,81.8%,61.1%,13.6%,2.69,0.0%
2021 Linz R32,L vs Cristian,77.6%,43.9%,0.0%,0/0,2.23,6.6%,75.4%,41.9%,0.0%,2.26,9.1%,92.0%,47.8%,0.0%,2.16,0.0%
2021 US Open R32,L vs Krejcikova,60.7%,29.4%,1.8%,0/1,2.55,24.3%,71.4%,25.0%,0.0%,2.75,37.5%,66.7%,35.7%,4.8%,2.18,0.0%
2021 Lausanne R32,W vs Rus,78.2%,54.8%,5.0%,3/3,2.22,4.6%,79.1%,47.2%,3.3%,2.13,8.3%,84.0%,81.0%,12.0%,2.34,0.0%
2020 Roland Garros R64,L vs Sakkari,68.3%,46.4%,3.7%,1/2,2.50,1.6%,64.6%,45.2%,0.0%,2.31,2.9%,86.2%,48.0%,10.3%,2.77,0.0%
2019 Jurmala R32,L vs Marcinkevica,59.3%,46.9%,11.1%,5/1,2.75,8.3%,53.1%,41.2%,9.4%,2.93,13.3%,88.2%,53.3%,17.6%,2.46,0.0%
Last 52 Weeks (3 matches),,74.7%,51.6%,2.8%,57.1%,2.51,9.1%,73.0%,47.7%,2.6%,2.50,13.7%,84.3%,57.3%,3.4%,2.52,1.4%
Career (15 matches),,71.1%,49.6%,5.1%,50.0%,2.53,7.7%,71.8%,46.7%,2.6%,2.49,12.4%,81.9%,54.8%,11.0%,2.59,0.9%
