Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
1979,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,1-0,100.0%,0,,,,,,,,,,,,R32 (Las Vegas)
1978,9,4,5,44.4%,7-11,38.9%,71-85,45.5%,1-1,50.0%,0,,,,,,,,,,,,BR (Essen Exho)
1977,14,5,9,35.7%,14-19,42.4%,134-150,47.2%,0-0,-,0,,,,,,,,,,,,QF (Toronto WCT)
1976,30,13,17,43.3%,26-36,41.9%,264-306,46.3%,7-2,77.8%,0,,,,,,,,,,,,W (Detroit)
1975,66,53,13,80.3%,108-40,73.0%,810-567,58.8%,14-11,56.0%,0,,,,,,,,,,,,W (5x)
1974,55,45,10,81.8%,96-32,75.0%,698-468,59.9%,6-4,60.0%,0,,,,,,,,,,,,W (6x)
1973,88,71,17,80.7%,151-56,72.9%,1146-826,58.1%,17-10,63.0%,0,,,,,,,,,,,,W (7x)
1972,66,50,16,75.8%,112-43,72.3%,815-571,58.8%,7-10,41.2%,0,,,,,,,,,,,,W (5x)
1971,106,87,19,82.1%,190-63,75.1%,1379-905,60.4%,11-15,42.3%,0,,,,,,,,,,,,W (8x)
1970,110,93,17,84.5%,219-67,76.6%,1611-1067,60.2%,6-4,60.0%,0,,,,,,,,,,,,W (15x)
1969,115,101,14,87.8%,252-71,78.0%,2082-1424,59.4%,0-0,-,0,,,,,,,,,,,,W (19x)
1968,92,73,19,79.3%,187-65,74.2%,1469-1062,58.0%,0-0,-,0,,,,,,,,,,,,W (13x)
1967,99,82,17,82.8%,169-64,72.5%,1423-1058,57.4%,0-0,-,0,,,,,,,,,,,,W (19x)
1966,120,94,26,78.3%,177-67,72.5%,1967-1466,57.3%,0-0,-,0,,,,,,,,,,,,W (19x)
1965,111,93,18,83.8%,180-67,72.9%,1638-1288,56.0%,0-0,-,0,,,,,,,,,,,,W (17x)
1964,122,87,35,71.3%,182-92,66.4%,1594-1298,55.1%,0-0,-,0,,,,,,,,,,,,W (13x)
1963,149,74,75,49.7%,156-159,49.5%,1702-1704,50.0%,0-0,-,0,,,,,,,,,,,,W (5x)
1962,166,151,15,91.0%,377-106,78.1%,2860-1963,59.3%,0-0,-,0,,,,,,,,,,,,W (21x)
1961,163,141,22,86.5%,352-115,75.4%,2630-1822,59.1%,0-0,-,0,,,,,,,,,,,,W (16x)
1960,105,89,16,84.8%,241-88,73.3%,1900-1397,57.6%,0-0,-,0,,,,,,,,,,,,W (9x)
1959,55,35,20,63.6%,108-72,60.0%,1002-874,53.4%,0-0,-,0,,,,,,,,,,,,W (2x)
1958,54,36,18,66.7%,97-60,61.8%,868-728,54.4%,0-0,-,0,,,,,,,,,,,,W (2x)
1957,18,11,7,61.1%,29-27,51.8%,270-255,51.4%,0-0,-,0,,,,,,,,,,,,W (2x)
1956,4,0,4,0.0%,2-12,14.3%,55-88,38.5%,0-0,-,0,,,,,,,,,,,,R32 (Australian Open)
Career,1918,1488,430,77.6%,3432-1434,70.5%,28392-21384,57.0%,70-57,55.1%,0,,,,,,,,,,,,
