Date,Tournament,Surface,Rd,,Score
02-Sep-1970,US Open,Grass,F,(8) Pierre Barthes [FRA] / Nikola Pilic [CRO] d. Laver / Roy Emerson [AUS],6-3 7-6 4-6 7-6
02-Sep-1970,US Open,Grass,SF,(6) Laver / Roy Emerson [AUS] d. Ken Rosewall / Fred Stolle [AUS],6-1 6-1 7-6
02-Sep-1970,US Open,Grass,QF,(6) Laver / Roy Emerson [AUS] d. Bob Hewitt / Frew Mcmillan [RSA],6-3 6-4 7-6
02-Sep-1970,US Open,Grass,R16,(6) Laver / Roy Emerson [AUS] d. Cliff Drysdale [RSA] / Ron Holmberg [USA],6-2 6-2 7-6
02-Sep-1970,US Open,Grass,R32,(6) Laver / Roy Emerson [AUS] d. Clark Graebner [USA] / Raymond Moore [RSA],7-6 6-4 6-2
02-Sep-1970,US Open,Grass,R64,(6) Laver / Roy Emerson [AUS] d. Peter Burwash [CAN] / Rudy Hernando [USA],W/O
22-Jun-1970,Wimbledon,Grass,QF,(6) Ken Rosewall / Fred Stolle [AUS] d. Laver / Roy Emerson [AUS],6-4 6-4 13-11
22-Jun-1970,Wimbledon,Grass,R16,(3) Laver / Roy Emerson [AUS] d. Arthur Ashe / Dennis Ralston [USA],7-5 6-3 12-10
22-Jun-1970,Wimbledon,Grass,R32,(3) Laver / Roy Emerson [AUS] d. Jaime Pinto Bravo / Patricio Rodriguez Chi [CHI],6-4 6-3 6-1
22-Jun-1970,Wimbledon,Grass,R64,(3) Laver / Roy Emerson [AUS] d. Hans Kary / Peter Pokorny [AUT],6-4 6-3 6-3
27-Aug-1969,US Open,Grass,SF,Charlie Pasarell / Dennis Ralston [USA] d. Laver / Roy Emerson [AUS],W/O
27-Aug-1969,US Open,Grass,QF,(4) Laver / Roy Emerson [AUS] d. Jim Mcmanus / Jim Osborne [USA],6-3 6-1 6-4
27-Aug-1969,US Open,Grass,R16,(4) Laver / Roy Emerson [AUS] d. Jan Kodes / Jan Kukal [CZE],6-4 6-4 8-6
27-Aug-1969,US Open,Grass,R32,(4) Laver / Roy Emerson [AUS] d. Keith Carpenter [CAN] / John Sharpe [AUS],6-3 6-2 6-4
27-Aug-1969,US Open,Grass,R64,(4) Laver / Roy Emerson [AUS] d. Ian Crookenden / Lew Gerrard [NZL],6-2 9-7 6-0
23-Jun-1969,Wimbledon,Grass,SF,(6) Tom Okker [NED] / Marty Riessen [USA] d. Laver / Roy Emerson [AUS],6-3 3-6 6-3 6-4
23-Jun-1969,Wimbledon,Grass,QF,(2) Laver / Roy Emerson [AUS] d. Cliff Drysdale [RSA] / Roger Taylor [GBR],8-6 6-4 6-2
23-Jun-1969,Wimbledon,Grass,R16,(2) Laver / Roy Emerson [AUS] d. Earl Butch Buchholz [USA] / Raymond Moore [RSA],6-4 6-2 6-2
23-Jun-1969,Wimbledon,Grass,R32,(2) Laver / Roy Emerson [AUS] d. Graham Stilwell / Keith Wooldridge [GBR],6-1 6-0 6-2
23-Jun-1969,Wimbledon,Grass,R64,(2) Laver / Roy Emerson [AUS] d. Martin Mulligan [AUS] / Nicola Pietrangeli [ITA],W/O
