Date,Tournament,Surface,Rd,,Score
05-Aug-1969,St. Louis Pros,,F,Fred Stolle [AUS] / Ann Jones [GBR] d. Laver / Billie Jean King [USA],4-Aug
19-Mar-1962,Caracas,Hard,F,Laver / Darlene Hard [USA] d. Roy Emerson [AUS] / Christine Truman [GBR],7-5 7-5
13-Mar-1962,Barranquilla,Clay,F,Laver / Darlene Hard [USA] d. Michael Sangster [GBR] / Renee Schuurman [RSA],6-3 6-2
21-Aug-1961,St. Moritz Palace,Clay,F,Laver / Jacqueline Kermina [FRA] d. Fernando Olozaga / Ana Maria Estalella Manso [ESP],6-4 6-3
03-Aug-1961,Bad Neuenahr,Clay,F,Wilhelm Bungert [GER] / Sandra Reynolds [RSA] d. Laver / Renee Schuurman [RSA],6-2 6-3
18-May-1961,Roland Garros,Clay,F,Laver / Darlene Hard [USA] d. Bob Hewitt [RSA] / Jan Lehane [AUS],6-0 2-6 6-3
06-Mar-1961,Barranquilla,Clay,F,Laver / Darlene Hard [USA] d. Gardnar Mulloy / Sally Moore [USA],6-3 6-2
27-Feb-1961,Caracas,Hard,F,Laver / Darlene Hard [USA] d. Billy Knight / Ann Jones [GBR],7-5 6-3
20-Jun-1960,Wimbledon,Grass,F,(1) Laver / Darlene Hard [USA] d. (2) Bob Howe [AUS] / Maria Bueno [BRA],13-11 3-6 8-6
13-Jun-1960,Queen's Club,Grass,F,Laver / Darlene Hard [USA] d. Bob Mark [AUS] / Janet Hopps [USA],6-1 7-5
16-Apr-1960,Canterbury,Clay,F,Laver / Barbara Tyson [AUS] d. Barry Plunkett / J Wynwood [AUS],6-4 4-6 6-2
17-Mar-1960,Bathurst,Clay,F,Laver / Mary Hawton [AUS] d. Bob Howe / Jan Lehane [AUS],1-6 6-3 6-4
22-Jun-1959,Wimbledon,Grass,F,(3) Laver / Darlene Hard [USA] d. (2) Neale Fraser [AUS] / Maria Bueno [BRA],6-4 6-3
15-Jun-1959,Queen's Club,Grass,F,Laver / Darlene Hard [USA] d. Nicola Pietrangeli [ITA] / Maria Bueno [BRA],14-12 6-4
19-May-1959,Roland Garros,Clay,F,Billy Knight [GBR] / Yola Ramirez [MEX] d. Laver / Renee Schuurman [RSA],6-4 6-4
16-Jan-1959,Australian Championships,Grass,F,(1) Bob Mark [AUS] / Sandra Reynolds [RSA] d. (2) Laver / Renee Schuurman [RSA],4-6 13-11 6-1
03-Jan-1959,Perth,Grass,F,Laver / Renee Schuurman [RSA] d. Chris Crawford [USA] / Sandra Reynolds [RSA],6-3 7-5
06-Nov-1958,Adelaide,Grass,F,Laver / Renee Schuurman [RSA] d. Bob Mark [AUS] / Sandra Reynolds [RSA],6-4 6-2
22-Oct-1958,Brisbane,Grass,F,Laver / Renee Schuurman [RSA] d. Warren Woodcock [AUS] / Sandra Reynolds [RSA],6-1 6-4
09-Jun-1958,Beckenham,Grass,F,Laver / Jean Forbes [RSA] d. Lew Gerrard / Ruia Morrison [NZL],6-1 6-4
