Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,330,265,65,80.3%,557-208,72.8%,4552-3339,57.7%,26-20,56.5%,0,,,,,,,,,,,
Clay,404,316,88,78.2%,771-325,70.3%,5987-4445,57.4%,11-10,52.4%,0,,,,,,,,,,,
Grass,474,385,89,81.2%,1015-393,72.1%,8718-6464,57.4%,2-6,25.0%,0,,,,,,,,,,,
Carpet,273,215,58,78.8%,450-174,72.1%,3573-2559,58.3%,26-18,59.1%,0,,,,,,,,,,,
Grand Slams,170,141,29,82.9%,441-159,73.5%,3483-2455,58.7%,3-6,33.3%,0,,,,,,,,,,,
Masters,25,20,5,80.0%,42-13,76.4%,298-192,60.8%,2-2,50.0%,0,,,,,,,,,,,
Other Tours,1703,1311,392,77.0%,2899-1237,70.1%,24171-18380,56.8%,65-49,57.0%,0,,,,,,,,,,,
Best of 5,517,415,102,80.3%,1318-558,70.3%,10620-7929,57.3%,12-16,42.9%,0,,,,,,,,,,,
Best of 3,1114,895,219,80.3%,1814-652,73.6%,14008-10079,58.2%,58-41,58.6%,0,,,,,,,,,,,
Finals,286,204,82,71.3%,524-297,63.8%,4769-3956,54.7%,8-9,47.1%,0,,,,,,,,,,,
Semi-finals,313,245,68,78.3%,583-253,69.7%,4944-3801,56.5%,14-9,60.9%,0,,,,,,,,,,,
Quarter-finals,312,244,68,78.2%,582-241,70.7%,4697-3535,57.1%,14-14,50.0%,0,,,,,,,,,,,
vs Righties,1553,1183,370,76.2%,2695-1186,69.4%,22741-17484,56.5%,66-53,55.5%,0,,,,,,,,,,,
vs Lefties,112,79,33,70.5%,208-117,64.0%,1767-1460,54.8%,4-4,50.0%,0,,,,,,,,,,,
vs Top 10,38,17,21,44.7%,44-47,48.4%,418-443,48.5%,4-8,33.3%,0,,,,,,,,,,,
