Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2016 Nashville TN $25K R32,W vs Bojczuk,0.87,2.00,39.2,3.0,0.0%,84.2%,0.0%,64.7%,54.8%,60.7%
2016 Stillwater OK $25K SF,L vs Collins,0.95,0.63,41.0,2.1,3.7%,44.4%,0.0%,36.0%,48.3%,29.2%
2016 Stillwater OK $25K QF,W vs Rodriguez,0.97,1.29,58.3,2.4,0.0%,71.8%,0.0%,47.4%,53.8%,52.6%
2016 Stillwater OK $25K R16,W vs Pera,1.09,2.37,32.6,2.0,0.0%,73.9%,4.8%,76.2%,54.2%,54.5%
2016 Stillwater OK $25K R32,W vs Di Lorenzo,1.04,1.13,78.9,17.9,0.0%,54.7%,0.0%,55.0%,50.8%,47.3%
2016 US Open Q1,L vs Zhang,0.92,0.56,41.3,2.0,-,42.3%,-,47.6%,36.0%,30.0%
2016 Stanford Q2,L vs Bogdan,0.88,0.78,58.6,2.1,0.0%,38.6%,0.0%,48.8%,37.5%,63.9%
2016 Stanford Q1,W vs Savchuk,1.13,1.57,39.9,2.0,3.3%,56.7%,3.6%,53.6%,67.7%,55.6%
2016 Trnava $100K R32,L vs Rus,0.80,0.38,28.9,2.0,0.0%,38.9%,0.0%,58.8%,23.1%,26.1%
2015 Nantes $50K R16,L vs Knoll,0.96,0.78,62.6,2.5,0.0%,57.6%,0.0%,41.4%,53.8%,27.0%
2015 Nantes $50K R32,W vs Pliskova,1.34,1.29,61.2,2.2,0.0%,48.6%,0.0%,61.8%,54.5%,31.0%
2015 Istanbul $25K QF,L vs Jorovic,0.91,0.67,44.4,2.0,0.0%,48.1%,0.0%,33.3%,36.7%,50.0%
2015 Istanbul $25K R32,W vs Tomova,1.02,1.39,59.7,2.8,0.0%,54.5%,3.1%,75.0%,44.2%,52.4%
2015 Moscow Q1,L vs Kalinskaya,0.94,0.88,80.2,29.2,2.2%,37.8%,2.4%,52.4%,47.8%,55.6%
2015 Hong Kong R32,L vs Williams,0.90,0.92,77.0,5.6,0.0%,51.8%,0.0%,53.8%,51.2%,44.7%
2015 Dobrich $25K R32,L vs Ruse,0.97,0.89,63.8,2.6,0.0%,50.0%,0.0%,38.8%,48.0%,53.2%
2015 Sofia $25K QF,L vs Leykina,0.94,0.80,67.6,3.1,0.0%,55.9%,0.0%,42.4%,43.9%,42.1%
2015 Baku Q2,L vs Savchuk,1.13,0.56,47.2,2.2,0.0%,56.7%,0.0%,34.5%,22.7%,31.6%
2015 Istanbul Q1,L vs Cengiz,0.92,0.83,69.5,11.0,0.0%,45.2%,2.6%,50.0%,45.8%,48.9%
2015 Bastad R32,L vs Siniakova,1.07,0.63,49.0,2.7,0.0%,50.0%,0.0%,46.7%,36.0%,23.8%
2016 (9 matches),,0.98,1.03,52.0,2.4,0.8%,55.2%,0.8%,53.0%,48.0%,48.4%
2015 (16 matches),,1.00,0.92,61.6,2.9,0.7%,52.7%,1.3%,51.1%,45.5%,43.1%
2014 (13 matches),,1.05,1.15,45.5,2.2,1.8%,54.6%,2.0%,59.3%,47.3%,47.4%
2013 (29 matches),,1.02,1.08,57.7,2.6,0.8%,56.8%,1.0%,55.2%,47.6%,45.7%
2012 (6 matches),,1.00,1.11,57.7,3.1,-,52.8%,-,57.0%,51.7%,47.9%
Career (76 matches),,1.01,1.04,56.1,2.6,0.9%,55.2%,1.2%,54.6%,47.2%,45.8%
