Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-01-15),1326,4,,,,,,,,,,,,
2023,1326,4,,,,,,,,,,,,
2022,478,88,248,1443,248,1400,203,1438,176,1407,,,,
2021,192,356,192,1513,195,1453,169,1488,146,1465,,,,
2020,149,500,133,1577,134,1526,120,1543,,,199,425,,
2019,147,417,190,1549,203,1480,154,1530,136,1488,300,246,,
2018,185,315,201,1493,201,1442,177,1463,135,1483,537,60,,
2017,166,351,148,1565,156,1514,128,1529,117,1526,,,,
2016,160,352,164,1556,152,1549,148,1500,111,1540,,,,
2015,232,212,,,,,,,,,566,64,,
2014,305,127,,,,,,,,,1098,9,,
2013,608,47,,,,,,,,,1111,12,,
2012,528,53,,,,,,,,,921,18,,
