Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2023 Roland Garros R64,L vs Schmiedlova,6.7,7.5,5.9,45.3%,46.2%,48.0%,38.7%,62.6%,21.7%,-1.0,-0.5,-3.5,-3.0
2023 Roland Garros R128,W vs Kucova,5.0,4.2,5.6,66.7%,73.3%,30.8%,57.1%,66.0%,16.7%,11.0,8.7,0.0,0.0
2022 ITF San Sebastian SF,W vs Vedder,6.7,6.9,6.6,62.5%,65.7%,60.0%,42.3%,42.5%,7.8%,3.0,2.2,8.5,4.8
2022 Roland Garros Q1,L vs Von Deichmann,6.0,5.4,6.4,38.0%,54.8%,25.0%,48.4%,56.3%,15.6%,0.5,0.3,-1.5,-1.2
2021 Courmayeur R16,L vs Samsonova,2.9,3.1,2.6,46.6%,33.3%,50.0%,100.0%,46.5%,11.5%,-3.0,-6.4,2.5,4.7
2021 Yarra Valley Classic R32,L vs Bouzkova,6.1,5.7,6.4,36.4%,55.6%,52.9%,42.9%,48.3%,21.4%,6.0,2.8,-5.0,-2.7
2020 Roland Garros R128,L vs Paolini,5.3,5.1,5.5,39.6%,37.5%,42.1%,68.8%,42.8%,19.1%,-1.5,-1.5,0.5,0.4
2019 US Open R64,L vs Cirstea,4.4,4.6,4.2,59.8%,44.4%,36.0%,19.0%,45.8%,4.5%,10.5,7.4,-7.5,-4.4
2019 US Open R128,W vs Strycova,5.5,5.0,6.2,54.4%,50.0%,42.9%,57.1%,46.5%,3.6%,11.5,7.2,0.5,0.3
2019 Wimbledon Q1,W vs Gauff,4.0,4.0,4.1,35.9%,48.5%,66.7%,50.0%,56.5%,16.5%,-4.5,-4.3,-7.5,-10.0
2019 Roland Garros R16,L vs Anisimova,4.3,4.4,4.2,43.5%,37.1%,30.8%,60.0%,44.2%,14.2%,5.0,5.7,-5.0,-4.9
2019 Charleston R64,W vs Di Lorenzo,6.2,4.6,7.8,64.0%,51.5%,50.0%,52.0%,50.4%,6.7%,13.0,7.5,2.5,1.5
2018 ITF Darmstadt F,W vs Gerlach,6.4,5.9,6.8,65.8%,57.1%,43.5%,64.0%,49.1%,8.4%,12.5,8.4,8.5,5.7
Career (13 matches),,5.4,5.1,5.6,49.6%,50.1%,46.0%,48.5%,50.5%,12.5%,4.8,3.4,-0.5,-0.4
