Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2023 Roland Garros R64,L vs Schmiedlova,84.5%,45.0%,2.8%,0/2,2.60,1.9%,88.9%,47.5%,0.0%,2.53,2.4%,87.0%,40.0%,8.7%,2.85,0.0%
2023 Roland Garros R128,W vs Kucova,91.1%,64.7%,1.8%,1/0,2.67,4.8%,91.4%,53.1%,2.9%,2.48,5.9%,100.0%,84.2%,0.0%,3.36,0.0%
2022 ITF San Sebastian SF,W vs Vedder,91.1%,58.8%,3.6%,1/1,2.39,0.0%,96.9%,58.1%,3.1%,2.43,0.0%,90.9%,60.0%,4.5%,2.21,0.0%
2022 Roland Garros Q1,L vs Von Deichmann,80.3%,50.9%,7.0%,5/0,2.53,35.1%,81.3%,48.7%,6.3%,2.67,48.1%,94.7%,55.6%,10.5%,2.13,0.0%
2021 Courmayeur R16,L vs Samsonova,58.5%,51.6%,5.7%,1/2,2.82,0.0%,47.1%,50.0%,2.9%,2.55,0.0%,83.3%,53.3%,11.1%,3.14,0.0%
2021 Yarra Valley Classic R32,L vs Bouzkova,74.4%,40.3%,2.2%,2/0,2.30,10.6%,74.6%,34.0%,0.0%,2.14,17.5%,83.3%,55.0%,8.3%,2.55,0.0%
2020 Roland Garros R128,L vs Paolini,90.6%,44.8%,6.3%,3/1,2.56,8.0%,91.3%,42.9%,8.7%,2.56,10.5%,88.9%,50.0%,0.0%,2.54,0.0%
2019 US Open R64,L vs Cirstea,73.6%,50.7%,1.1%,1/0,2.39,7.5%,72.5%,45.9%,0.0%,2.35,11.4%,88.2%,56.7%,2.9%,2.46,0.0%
2019 US Open R128,W vs Strycova,86.2%,60.7%,0.0%,0/0,2.69,14.7%,92.5%,56.8%,0.0%,2.62,18.5%,86.4%,68.4%,0.0%,2.97,0.0%
2019 Wimbledon Q1,W vs Gauff,67.7%,52.4%,8.1%,1/4,2.42,2.0%,72.2%,38.5%,8.3%,2.48,3.4%,84.2%,75.0%,10.5%,2.33,0.0%
2019 Roland Garros R16,L vs Anisimova,80.9%,41.8%,8.8%,2/4,2.61,2.6%,85.7%,36.1%,0.0%,2.83,0.0%,79.2%,52.6%,25.0%,2.45,4.5%
2019 Charleston R64,W vs Di Lorenzo,93.9%,50.0%,1.5%,0/1,2.36,6.0%,93.5%,46.5%,2.2%,2.04,8.8%,100.0%,57.9%,0.0%,3.06,0.0%
2018 ITF Darmstadt F,W vs Gerlach,85.2%,59.6%,1.6%,1/0,2.31,23.9%,91.7%,54.5%,0.0%,2.47,20.0%,90.5%,68.4%,4.8%,1.79,36.4%
Career (13 matches),,81.1%,51.2%,3.8%,54.5%,2.49,8.9%,82.9%,46.6%,2.5%,2.45,11.8%,88.7%,59.6%,6.7%,2.58,2.5%
