Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,609,382,227,62.7%,950-641,59.7%,8411-7380,53.3%,152-140,52.1%,587,84.0%,22.0%,12.1%,3.9%,56.5%,77.3%,52.0%,66.3%,37.3%,51.6%,1.11
Clay,232,139,93,59.9%,353-253,58.3%,3105-2713,53.4%,45-52,46.4%,219,81.2%,26.0%,9.0%,3.4%,55.8%,74.3%,52.1%,64.5%,39.5%,51.8%,1.11
Grass,118,83,35,70.3%,218-122,64.1%,1890-1644,53.5%,50-30,62.5%,114,88.1%,18.1%,14.6%,3.6%,60.3%,80.2%,53.0%,69.4%,35.7%,52.2%,1.16
Carpet,9,4,5,44.4%,9-13,40.9%,88-110,44.4%,0-0,-,8,78.7%,16.1%,9.3%,3.8%,53.9%,73.1%,51.0%,62.9%,33.4%,48.7%,0.90
Grand Slams,205,143,62,69.8%,470-269,63.6%,3962-3344,54.2%,78-55,58.6%,204,84.4%,23.4%,12.5%,3.8%,57.2%,77.8%,52.4%,67.0%,38.2%,52.3%,1.16
Masters,254,135,119,53.1%,305-276,52.5%,2946-2793,51.3%,49-57,46.2%,250,81.4%,21.2%,9.9%,3.8%,56.3%,75.2%,51.4%,64.8%,37.1%,50.8%,1.05
Other Tours,445,295,150,66.3%,640-396,61.8%,5562-4789,53.7%,106-96,52.5%,438,85.2%,22.0%,12.0%,3.7%,56.9%,77.4%,52.4%,66.6%,37.4%,51.8%,1.12
Best of 5,236,164,72,69.5%,544-314,63.4%,4575-3845,54.3%,86-60,58.9%,214,84.3%,23.6%,12.6%,3.8%,57.3%,77.8%,52.4%,66.9%,38.3%,52.3%,1.16
Best of 3,732,444,288,60.7%,986-715,58.0%,8919-8002,52.7%,161-162,49.8%,714,83.8%,21.6%,11.3%,3.7%,56.7%,76.6%,52.0%,66.0%,37.2%,51.4%,1.09
Finals,37,21,16,56.8%,49-41,54.4%,463-455,50.4%,13-9,59.1%,37,83.0%,17.3%,11.1%,3.3%,56.6%,74.5%,53.2%,65.2%,34.4%,50.0%,0.99
Semi-finals,68,37,31,54.4%,88-77,53.3%,834-799,51.1%,12-17,41.4%,68,81.5%,21.0%,12.1%,3.7%,57.1%,75.6%,50.5%,64.8%,36.9%,50.7%,1.05
Quarter-finals,123,68,55,55.3%,163-137,54.3%,1525-1452,51.2%,31-25,55.4%,118,82.6%,19.6%,12.0%,3.2%,57.3%,76.0%,50.6%,65.2%,36.1%,50.6%,1.04
vs Righties,838,516,322,61.6%,1311-914,58.9%,11702-10349,53.1%,207-201,50.7%,803,83.9%,22.0%,11.7%,3.7%,56.6%,76.9%,52.2%,66.2%,37.4%,51.5%,1.11
vs Lefties,130,92,38,70.8%,219-115,65.6%,1792-1498,54.5%,40-21,65.6%,125,84.3%,24.1%,11.9%,3.8%,58.6%,77.4%,52.0%,66.9%,38.6%,52.6%,1.17
vs Top 10,142,38,104,26.8%,134-258,34.2%,1716-2119,44.7%,25-40,38.5%,137,76.1%,14.7%,10.0%,3.7%,57.1%,73.1%,47.3%,62.0%,33.1%,47.8%,0.87
