Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),54,950,45,1816,47,1769,57,1724,18,1779,,,,
2025,73,765,50,1793,52,1744,64,1712,20,1767,,,,
2024,179,323,86,1723,92,1667,82,1675,,,,,,
2023,672,45,,,,,,,,,,,,
2022,17,2105,23,1904,25,1839,18,1843,9,1845,,,,
2021,30,1710,28,1879,32,1818,20,1810,6,1838,,,,
2020,42,1325,24,1850,26,1795,18,1820,,,467,90,,
2019,39,1165,22,1896,21,1844,15,1846,8,1842,444,90,,
2018,7,4250,12,1984,14,1909,9,1904,4,1909,,,,
2017,6,3805,18,1940,19,1865,25,1855,5,1910,184,360,,
2016,6,3650,11,2038,8,1990,16,1899,7,1907,124,630,59,1693
2015,13,2405,15,1972,13,1924,22,1861,12,1852,250,270,,
2014,9,4150,11,2040,9,1992,15,1918,7,1915,103,685,68,1648
2013,37,1130,15,1963,15,1893,19,1881,9,1883,172,415,65,1662
2012,15,2210,15,1960,20,1868,14,1902,13,1835,59,1240,20,1776
2011,21,1665,15,1969,14,1921,15,1894,19,1797,67,1150,49,1704
2010,14,2300,24,1903,21,1859,24,1851,22,1759,300,205,,
2009,14,2430,13,1987,12,1941,22,1861,14,1815,239,275,,
2008,23,1175,18,1917,16,1862,40,1776,20,1792,299,185,,
2007,71,533,57,1773,73,1675,58,1702,51,1660,455,101,,
2006,170,240,306,1405,326,1312,246,1427,218,1386,815,32,,
2005,587,35,,,,,,,,,848,25,,
2004,1463,1,,,,,,,,,1241,9,,
