Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
16-Jun-2025,Nottingham 2 CH,Grass,F,101,164,(2) Cilic d. (SE) Shintaro Mochizuki [JPN],6-2 6-3,1.98,8.5%,2.1%,55.3%,84.6%,71.4%,1/1,1:10
07-Apr-2025,Madrid CH,Clay,F,117,102,Kamil Majchrzak [POL] d. (8) Cilic,6-3 4-6 6-4,0.84,12.2%,1.1%,60.0%,75.9%,47.2%,8/10,2:12
24-Mar-2025,Girona CH,Clay,F,143,156,Cilic d. Elmer Moller [DEN],6-3 6-4,1.17,10.5%,6.6%,53.9%,73.2%,57.1%,8/8,1:43
18-Sep-2024,Hangzhou,Hard,F,777,48,(W) Cilic d. (6) Zhizhen Zhang [CHN],7-6(5) 7-6(5),1.01,21.7%,2.4%,60.2%,84.0%,66.7%,2/2,1:50
26-Sep-2022,Tel Aviv,Hard,F,16,7,(1) Novak Djokovic [SRB] d. (2) Cilic,6-3 6-4,0.69,22.4%,8.6%,70.7%,70.7%,41.2%,4/6,1:34
25-Oct-2021,St. Petersburg,Hard,F,35,28,Cilic d. (5) Taylor Fritz [USA],7-6(3) 4-6 6-4,1.09,12.4%,7.2%,59.8%,77.6%,38.5%,7/12,2:23
18-Oct-2021,Moscow,Hard,F,41,22,(2) Aslan Karatsev [RUS] d. (6) Cilic,6-2 6-4,0.48,13.7%,2.0%,54.9%,71.4%,52.2%,4/7,1:16
07-Jun-2021,Stuttgart,Grass,F,47,21,Cilic d. (3) Felix Auger Aliassime [CAN],7-6(2) 6-3,1.48,9.9%,2.8%,60.6%,76.7%,64.3%,4/5,1:48
18-Jun-2018,Queen's Club,Grass,F,6,22,(1) Cilic d. (WC) Novak Djokovic [SRB],5-7 7-6(4) 6-3,1.04,15.9%,5.3%,47.8%,85.2%,57.6%,5/6,2:57
15-Jan-2018,Australian Open,Hard,F,6,2,(2) Roger Federer [SUI] d. (6) Cilic,6-2 6-7(5) 6-3 3-6 6-1,0.77,11.3%,3.5%,62.4%,69.3%,50.9%,7/13,3:03
