Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2022 US Open R16,L vs Alcaraz,107.3,118.2,8.2,123.7,114.1,133,96,93.8,9.7,100.2,91.0,128,79
2022 US Open R32,W vs Evans,111.6,122.7,8.6,123.9,120.0,132,63,95.4,9.9,103.6,91.0,128,82
2022 US Open R64,W vs Ramos,110.3,119.1,7.7,122.4,113.8,131,102,95.7,7.3,94.0,94.2,119,81
2022 US Open R128,W vs Marterer,106.5,117.0,8.0,122.1,113.3,130,90,91.8,4.4,91.7,88.8,100,83
2021 US Open R128,L vs Kohlschreiber,107.4,116.2,14.3,124.1,112.1,132,66,94.1,8.3,104.5,91.0,109,70
2021 Wimbledon R32,L vs Medvedev,112.0,121.5,7.3,126.2,116.2,136,106,97.4,4.1,,,108,89
2021 Wimbledon R64,W vs Bonzi,113.3,120.7,5.2,123.8,118.3,131,107,102.2,5.5,112.0,105.3,114,92
2021 Wimbledon R128,W vs Caruso,114.7,120.2,6.2,123.1,115.8,130,103,101.1,5.9,113.5,102.0,114,92
2020 US Open R32,L vs Thiem,108.8,117.4,5.5,119.7,116.2,130,105,92.9,3.7,95.3,92.3,100,84
2019 US Open R16,L vs Nadal,109.4,117.4,8.6,122.2,112.6,133,102,91.6,3.3,89.5,93.0,97,81
2019 US Open R32,W vs Isner,108.6,121.1,6.3,122.5,118.5,134,99,91.2,5.4,93.7,93.3,103,74
2019 US Open R64,W vs Stebe,108.3,120.4,8.5,125.4,116.5,133,72,91.4,5.7,89.6,94.0,101,65
2019 US Open R128,W vs Klizan,110.6,119.4,6.1,122.7,117.0,131,106,94.6,3.8,94.7,88.5,102,84
2019 Wimbledon R64,L vs Sousa,113.3,122.0,6.0,124.9,116.1,130,107,104.1,4.9,106.7,101.1,117,96
2019 Wimbledon R128,W vs Mannarino,113.4,120.3,5.8,125.3,117.6,133,107,98.5,4.2,103.0,96.0,106,90
2019 Roland Garros R64,L vs Dimitrov,109.7,120.9,5.0,,,133,110,95.4,6.5,,,112,75
2019 Roland Garros R128,W vs Fabbiano,110.7,121.2,4.3,,,129,113,94.3,5.0,,,109,88
2018 US Open QF,L vs Nishikori,110.1,119.2,8.8,121.4,114.4,135,100,95.8,6.9,104.4,93.2,119,82
2018 US Open R16,W vs Goffin,104.4,117.4,7.6,122.9,109.4,127,99,92.5,6.5,96.8,89.3,116,82
2018 US Open R32,W vs De Minaur,106.6,116.1,6.5,119.6,110.3,127,92,90.2,5.4,92.7,85.3,105,81
Career (106 matches),,108.4,119.6,6.7,123.3,115.9,138,63,93.7,6.0,97.6,93.3,128,62
