Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Stockholm R16,L vs Ruud,31.3%,45.8%,40.3%,38.7%,34.6%,57.7%,50.0%,48.5%,47.6%,48.4%,100.0%,30.0%,35.0%,28.6%,59
2025 Shanghai R64,L vs Djokovic,37.5%,57.1%,57.1%,45.5%,38.2%,64.7%,66.7%,51.5%,41.2%,64.7%,-,36.4%,45.5%,42.9%,-79
2025 Beijing R32,L vs Sinner,18.9%,28.3%,38.5%,24.9%,29.2%,45.8%,41.2%,42.5%,40.0%,64.3%,33.3%,12.0%,16.0%,36.4%,-4
2025 Wimbledon R16,L vs Cobolli,37.1%,49.0%,48.3%,42.6%,45.2%,57.0%,47.1%,53.7%,43.2%,59.2%,66.7%,22.4%,34.7%,50.0%,-49
2025 Girona CH F,W vs Moller,34.2%,39.5%,53.3%,38.4%,43.9%,53.7%,52.2%,51.7%,72.2%,39.1%,50.0%,26.7%,26.7%,54.5%,133
2025 Girona CH SF,W vs De Jong,28.6%,45.2%,49.2%,34.6%,38.0%,56.0%,51.6%,48.2%,37.5%,46.2%,25.0%,15.2%,30.3%,46.4%,-35
2025 Doha R32,L vs Alcaraz,24.0%,36.0%,48.1%,31.6%,27.1%,45.8%,60.0%,39.0%,60.9%,52.0%,57.1%,22.7%,22.7%,23.5%,86
2024 Paris R64,L vs Fils,40.6%,50.0%,36.1%,44.7%,50.0%,61.8%,29.4%,57.6%,46.2%,81.0%,100.0%,32.1%,39.3%,42.1%,22
2024 Hangzhou F,W vs Zhang,39.8%,60.2%,64.6%,47.2%,56.0%,76.0%,63.6%,68.4%,60.9%,70.4%,-,16.1%,38.7%,65.4%,13
2022 Davis Cup Finals QF,W vs Carreno Busta,32.0%,40.8%,51.4%,36.7%,55.9%,67.8%,61.5%,65.9%,58.1%,46.4%,40.0%,13.7%,21.6%,45.5%,-1
2022 Paris R64,L vs Musetti,32.7%,51.9%,57.6%,38.5%,51.9%,74.1%,69.2%,63.0%,45.5%,43.8%,0.0%,13.0%,30.4%,50.0%,14
2022 Tel Aviv F,L vs Djokovic,41.4%,53.4%,41.4%,46.7%,56.1%,68.3%,33.3%,63.7%,65.0%,33.3%,0.0%,8.3%,25.0%,54.5%,-53
2022 Tel Aviv R16,W vs Thiem,36.4%,54.5%,56.6%,44.8%,44.4%,63.0%,60.0%,58.1%,45.5%,53.1%,100.0%,25.8%,45.2%,52.2%,55
2022 US Open R16,L vs Alcaraz,31.0%,43.0%,50.6%,35.8%,43.8%,57.5%,53.7%,53.2%,65.5%,38.6%,42.9%,21.4%,33.9%,47.7%,73
2022 Cincinnati R64,W vs Munar,32.8%,50.0%,53.8%,45.0%,38.6%,54.5%,59.3%,54.8%,60.0%,45.8%,100.0%,14.3%,35.7%,41.7%,-79
2022 Canada R16,L vs Paul,20.3%,32.2%,40.0%,28.5%,23.8%,38.1%,46.9%,35.2%,63.6%,45.0%,50.0%,13.3%,20.0%,23.1%,11
2022 Canada R32,W vs Khachanov,23.6%,45.5%,63.4%,31.8%,37.5%,65.6%,75.0%,51.6%,45.5%,52.4%,0.0%,4.5%,18.2%,52.4%,-70
2022 Queens Club SF,L vs Krajinovic,34.5%,39.7%,39.4%,36.2%,61.3%,67.7%,33.3%,64.5%,50.0%,53.3%,100.0%,4.5%,9.1%,42.9%,-77
2022 Roland Garros SF,L vs Ruud,20.9%,40.0%,50.6%,31.0%,26.3%,47.4%,57.1%,41.6%,51.3%,59.5%,87.5%,10.8%,27.0%,39.4%,-5
2022 Roland Garros QF,W vs Rublev,35.5%,48.4%,48.3%,40.4%,48.6%,63.6%,49.1%,57.2%,50.0%,43.1%,50.0%,18.2%,28.6%,47.6%,-41
Career (119 matches),,31.8%,43.7%,50.1%,37.9%,44.2%,58.9%,55.7%,54.9%,54.5%,46.6%,47.4%,16.8%,26.0%,44.5%,50
