Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,16,Hard,53,37,16,69.8%,37,22,15,59.5%,2007,2026,F,53,1.16,13.1%,3.4%,57.2%,78.7%,53.0%,67.7%,37.5%,63.3%,39.1%
Roland Garros,18,Clay,53,34,19,64.2%,25,12,13,48.0%,2006,2025,SF,51,1.16,9.2%,3.3%,56.4%,74.5%,53.1%,65.1%,40.4%,64.7%,43.7%
Wimbledon,15,Grass,49,34,15,69.4%,40,25,15,62.5%,2007,2025,F,48,1.17,14.8%,3.3%,60.9%,79.6%,52.6%,69.0%,36.1%,66.7%,35.1%
US Open,16,Hard,56,41,15,73.2%,32,19,13,59.4%,2006,2025,W,55,1.14,12.3%,5.1%,54.6%,77.6%,51.4%,65.7%,39.3%,61.0%,41.0%
Olympics,4,,9,5,4,55.6%,5,3,2,60.0%,2008,2021,R16,7,1.08,9.7%,4.0%,52.2%,75.6%,56.8%,66.6%,36.1%,64.3%,31.1%
Davis Cup,17,,52,33,19,63.5%,20,13,7,65.0%,2006,2025,,24,1.21,13.7%,2.9%,57.7%,78.6%,53.8%,68.1%,38.7%,64.6%,43.3%
Miami Masters,14,Hard,31,17,14,54.8%,14,8,6,57.1%,2008,2026,QF,31,1.02,9.2%,4.0%,55.0%,75.1%,50.8%,64.2%,36.5%,69.2%,36.1%
Indian Wells Masters,14,Hard,25,11,14,44.0%,11,2,9,18.2%,2008,2026,QF,25,1.06,10.5%,3.5%,54.9%,73.2%,53.3%,64.3%,37.9%,57.7%,33.7%
Delray Beach,3,Hard,7,5,2,71.4%,5,2,3,40.0%,2012,2026,W,7,1.21,14.5%,4.4%,55.4%,79.4%,51.5%,67.0%,40.0%,66.7%,40.0%
Hong Kong,2,Hard,3,1,2,33.3%,2,0,2,0.0%,2024,2026,R16,3,1.03,16.0%,8.4%,51.7%,77.2%,48.7%,63.4%,37.6%,60.0%,44.4%
Basel,10,Hard,26,17,9,65.4%,16,9,7,56.3%,2009,2025,W,26,1.14,12.2%,4.0%,56.1%,78.9%,55.7%,68.7%,35.5%,67.3%,41.5%
Shanghai Masters,12,Hard,21,9,12,42.9%,10,5,5,50.0%,2009,2025,SF,21,1.05,11.7%,2.8%,59.6%,75.7%,52.4%,66.3%,35.5%,60.0%,32.1%
